from,to,pais_origen,pais_destino
https://es.wikipedia.org/wiki/Ana_Jacoba_Garc%C3%ADa_de_Z%C3%BA%C3%B1iga,https://es.wikipedia.org/wiki/Mart%C3%ADn_Jos%C3%A9_Warnes,chile,argentina
https://es.wikipedia.org/wiki/Ana_Jacoba_Garc%C3%ADa_de_Z%C3%BA%C3%B1iga,https://es.wikipedia.org/wiki/Mart%C3%ADn_Jos%C3%A9_Warnes,uruguay,argentina
https://es.wikipedia.org/wiki/Ana_Jacoba_Garc%C3%ADa_de_Z%C3%BA%C3%B1iga,https://es.wikipedia.org/wiki/Martina_Warnes,chile,argentina
https://es.wikipedia.org/wiki/Ana_Jacoba_Garc%C3%ADa_de_Z%C3%BA%C3%B1iga,https://es.wikipedia.org/wiki/Martina_Warnes,uruguay,argentina
https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_Orozco,https://es.wikipedia.org/wiki/Juli%C3%A1n_Arango,peru,colombia
https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_Orozco,https://es.wikipedia.org/wiki/Luis_Fernando_Orozco_(actor,peru,colombia
https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_Romero,https://es.wikipedia.org/wiki/Gonzalo_Romero_%C3%81lvarez,argentina,bolivia
https://es.wikipedia.org/wiki/Ana_de_Narv%C3%A1ez_de_Caro,https://es.wikipedia.org/wiki/Julio_Caro,ecuador,colombia
https://es.wikipedia.org/wiki/Ana_de_Narv%C3%A1ez_de_Caro,https://es.wikipedia.org/wiki/Miguel_Antonio_Caro,ecuador,colombia
https://es.wikipedia.org/wiki/Ana_de_Narv%C3%A1ez_de_Caro,https://es.wikipedia.org/wiki/Victor_Caro,ecuador,colombia
https://es.wikipedia.org/wiki/Andr%C3%A9s_Pedraza,https://es.wikipedia.org/wiki/Luciana_Pedraza,peru,argentina
https://es.wikipedia.org/wiki/Andr%C3%A9s_Pedraza,https://es.wikipedia.org/wiki/Melit%C3%B3n_Pedraza_y_Pereyra,peru,argentina
https://es.wikipedia.org/wiki/Andr%C3%A9s_Pedraza,https://es.wikipedia.org/wiki/Susana_Ferrari_Billinghurst,peru,argentina
https://es.wikipedia.org/wiki/Andr%C3%A9s_Wiese,https://es.wikipedia.org/wiki/Giselle_Collao,argentina,peru
https://es.wikipedia.org/wiki/Andr%C3%A9s_Wiese,https://es.wikipedia.org/wiki/Janick_Maceta,argentina,peru
https://es.wikipedia.org/wiki/Andr%C3%A9s_Wiese,https://es.wikipedia.org/wiki/Melania_Urbina,argentina,peru
https://es.wikipedia.org/wiki/Andr%C3%A9s_Wiese,https://es.wikipedia.org/wiki/Valeria_Bringas,argentina,peru
https://es.wikipedia.org/wiki/Antonia_Vergara_y_Sanz_de_Santamar%C3%ADa,https://es.wikipedia.org/wiki/Francisco_Xavier_Vergara,ecuador,colombia
https://es.wikipedia.org/wiki/Antonia_Vergara_y_Sanz_de_Santamar%C3%ADa,https://es.wikipedia.org/wiki/Francisco_Xavier_Vergara_Azc%C3%A1rate,ecuador,colombia
https://es.wikipedia.org/wiki/Antonia_Vergara_y_Sanz_de_Santamar%C3%ADa,https://es.wikipedia.org/wiki/Ignacio_Guti%C3%A9rrez_Vergara,ecuador,colombia
