attribute,H_observed,H_expected_component,within_share,p_value
Country,0.4793076461220101,0.18874592653912964,0.5775862068965517,0
PoliticalOffice,-0.8545431758041863,0.879141163193847,0.7758620689655172,0
NetworkTier,1,0.5450403859077727,1,0
Era,0.233984867750497,0.5048265643086031,0.6206896551724138,0
