familia_grupo,n,mean_degree,sd_degree,mean_between,n_paises,n_bridges_out,n_internal,closure_index,constraint_proxy,reach,country
eguiguren,13,1.6153846153846154,1.325296290046213,2.1538461538461537,2,1,52,0.9811135638950209,4.324632584443203,1,peru
elmore,5,1.6,0.8944271909999159,1.6,1,0,24,0.999958335069372,3.326403326403326,0,peru
eléspuru,6,1.6666666666666667,1.2110601416389968,1,1,0,28,0.9999642869897504,1.7967658215212612,0,peru
elías,8,1.625,1.0606601717798212,21.875,1,4,22,0.8461213030268067,42.99226139294927,3,peru
elías-calles,9,0.6666666666666667,1,0,1,0,16,0.9999375039060058,-0,0,mexico
elías-gonzález,1,0,,0,1,0,0,0,0,0,mexico
errázuriz,70,1.4,1.8289143053275856,153.96785714285716,1,27,166,0.8600991704706193,547.9283172343672,6,chile
escalada,4,2.25,2.5,8.8125,1,10,4,0.28569387900864224,6.262213537040328,3,argentina
escalada_(de_burgos),4,1,0.816496580927726,0.25,2,0,8,0.9998750156230471,250,0,argentina
escobar_gaviria,8,0.5,0.7559289460184544,0.125,1,0,8,0.9998750156230471,-1.0080645161290323,0,colombia
esguerra,8,0,0,0,2,0,0,0,0,0,colombia
estenssoro,5,0.4,0.5477225575051662,0,2,0,6,0.9998333611064822,-0,0,bolivia
estrada,5,0.39999999999999997,0.5477225575051662,0,1,0,6,0.9998333611064822,-0,0,argentina
estrada_ecuador,7,2,1.1547005383792515,1.4285714285714284,1,0,28,0.9999642869897504,1.4271442842871414,0,ecuador
etcheberry,5,0.8,0.8366600265340756,0.2,1,0,8,0.9998750156230471,-2.5316455696202538,0,chile
falú,4,0,0,0,1,0,0,0,0,0,argentina
familias_fundadoras_de_chile,1,0,,0,1,0,0,0,0,0,chile
farfán,8,1.25,1.0350983390135313,2,1,0,20,0.999950002499875,12.718600953895072,0,peru
farías,7,0.42857142857142855,0.7867957924694431,1.142857142857143,1,1,4,0.7998400319936012,-9.410183162493702,1,mexico
febres-cordero,8,1.125,0.9910312089651149,0.5,2,1,22,0.9564801530368244,7.011393514460999,1,venezuela
feliú,3,0,0,0,1,0,0,0,0,0,chile
fernandini,3,0,0,0,1,0,0,0,0,0,peru
fernández-maldonado,2,0,0,0,1,0,0,0,0,0,peru
fernández_chicarro,3,0,0,0,1,0,0,0,0,0,mexico
fernández_cornejo,1,0,,0,1,0,0,0,0,0,peru
fernández_de_jáuregui,4,0,0,0,1,0,0,0,0,0,mexico
fernández_de_soto,1,0,,0,1,0,0,0,0,0,colombia
fernández_veraud,5,1.6,0.5477225575051661,2,1,0,20,0.999950002499875,4.158004158004157,0,mexico
ferrero,6,0.6666666666666667,0.816496580927726,0.16666666666666669,1,0,12,0.9999166736105325,-1.5136226034308782,0,peru
ferreyros,13,1.6923076923076923,1.4935759876113537,3.384615384615384,1,0,54,0.9999814818244107,5.767931510855206,0,peru
flores_magón,8,1,1.0690449676496976,1,1,0,22,0.9999545475205672,1000,0,mexico
fontaina,5,0.8,0.8366600265340756,0.2,1,0,10,0.9999000099990002,-2.5316455696202538,0,uruguay
fontaine,6,1.1666666666666667,0.752772652709081,0.6666666666666667,1,1,16,0.9411211105229104,6.7873303167420795,1,chile
fontbona,6,2.3333333333333335,1.3662601021279464,1.25,1,7,26,0.7878549134874702,0.8030551788136198,1,chile
fortabat,9,1.7777777777777777,1.3017082793177757,2.111111111111111,1,0,34,0.9999705891003207,3.0491610349316174,0,argentina
frayssinet,7,1.8571428571428572,0.6900655593423541,2.8571428571428568,2,7,26,0.7878549134874702,3.5852390586186575,1,peru
frei,11,1.2727272727272727,1.4206272622267315,1.0909090909090908,1,0,36,0.9999722229938058,6.2497040859807775,0,chile
freire,16,2.5,1.8618986725025255,1.125,2,0,84,0.9999880953798168,0.599680170575693,0,chile
freundt,4,0,0,0,1,0,0,0,0,0,peru
frigerio,4,1,0.816496580927726,0.25,1,0,10,0.9999000099990002,250,0,argentina
fuentes_berain,5,0.8,0.8366600265340756,0.2,1,0,10,0.9999000099990002,-2.5316455696202538,0,mexico
fujimori,5,2,1.224744871391589,0.2,1,0,28,0.9999642869897504,0.19980019980019983,0,peru
galeana,4,0,0,0,1,0,0,0,0,0,mexico
galeano,9,1.5555555555555556,1.1303883305208782,34,1,9,26,0.7428359189737437,78.50403352241953,2,colombia
galilea,7,0.8571428571428571,0.8997354108424372,0.5714285714285714,1,0,18,0.9999444475306927,-9.48830904778041,0,chile
gallardo,6,0.6666666666666667,0.816496580927726,0.16666666666666669,1,0,8,0.9998750156230471,-1.5136226034308782,0,argentina
galleguillos,11,0,0,0,2,0,0,0,0,0,chile
galvis_galavís,6,1.3333333333333333,1.0327955589886446,1.3333333333333335,1,0,20,0.999950002499875,5.973120955699355,0,colombia
galán,17,3.0588235294117645,2.2768011615887245,31.235294117647058,1,9,104,0.9203458376474544,9.916630872173565,2,colombia
gandarillas,11,1.0909090909090908,0.9438798074485389,1.4545454545454546,1,0,30,0.9999666677777407,28.753471654958368,0,chile
garcés,16,0.375,0.6191391873668903,0.0625,1,0,14,0.9999285765302479,-0.5379236148466918,0,colombia
garcía-huidobro,30,1.1,1.373392477244478,5.583333333333333,1,8,58,0.8787745640217571,99.70238095238085,4,chile
garcía-mansilla,17,4.470588235294118,2.960524595802734,86.94117647058823,1,32,134,0.8072240528671514,11.205513651451707,4,argentina
garcía_calderón,5,1.2,1.0954451150103321,0.6,1,0,14,0.9999285765302479,4.9586776859504145,0,peru
garcía_de_león,6,0.33333333333333337,0.5163977794943223,0,1,0,6,0.9998333611064822,-0,0,mexico
garcía_de_sobrecasa,1,1,,0,1,1,0,0,0,1,argentina
garcía_de_zúñiga,11,2.272727272727273,2.0045403009622476,15.954545454545455,4,37,30,0.44775451112669956,11.023806396719982,1,argentina
garcía_godos,2,1,0,0,1,0,6,0.9998333611064822,0,0,peru
garcía_granados,8,0.25,0.4629100498862757,0,1,0,6,0.9998333611064822,-0,0,mexico
garcía_icazbalceta,6,1,0.6324555320336759,0.16666666666666669,1,0,12,0.9999166736105325,166.66666666666669,0,mexico
garcía_y_garcía,12,0.5,0.674199862463242,0.08333333333333333,1,0,16,0.9999375039060058,-0.6720430107526881,0,peru
garretón,9,0.6666666666666667,0.7071067811865476,0.11111111111111109,1,0,6,0.9998333611064822,-1.0090817356205852,0,chile
garrido-lecca,4,0,0,0,1,0,0,0,0,0,peru
garza_sada,8,1.625,1.1877349391654208,37.375,1,1,34,0.971400817119511,73.45534946566761,1,mexico
gastañeta,4,0,0,0,1,0,0,0,0,0,peru
gibson,6,1.3333333333333333,0.816496580927726,1.6666666666666665,2,0,22,0.9999545475205672,7.466401194624193,0,peru
