metric,value,p_value
pearson,0.10444744944262115,0.00437142027169949
spearman,-0.23892067441438894,4.1866216160603824e-11
pearson_boot_ci_low,0.06271611532073394,
pearson_boot_ci_high,0.1517629601149681,
