step,lcc_targeted,lcc_mean,lcc_low,lcc_high,pct_removed
1,0.1695827725437416,0.1695827725437416,0.1695827725437416,0.1695827725437416,0.0013458950201884253
2,0.15902964959568733,0.16901617250673853,0.16570080862533695,0.16981132075471697,0.0026917900403768506
3,0.15384615384615385,0.16860998650472334,0.16059379217273953,0.1700404858299595,0.004037685060565276
4,0.1445945945945946,0.168,0.1581081081081081,0.17027027027027028,0.005383580080753701
5,0.09472259810554803,0.1675507442489851,0.15811907983761841,0.17050067658998647,0.006729475100942127
6,0.0948509485094851,0.16742547425474255,0.15833333333333333,0.17073170731707318,0.008075370121130552
7,0.037991858887381276,0.16717774762550883,0.15461329715061056,0.17096336499321574,0.009421265141318977
8,0.03804347826086957,0.16688858695652173,0.1548233695652174,0.17119565217391305,0.010767160161507403
9,0.0380952380952381,0.16634013605442177,0.15367346938775509,0.17142857142857143,0.012113055181695828
10,0.027247956403269755,0.165858310626703,0.15245231607629428,0.17166212534059946,0.013458950201884253
11,0.027285129604365622,0.16567530695770805,0.1499317871759891,0.17189631650750342,0.014804845222072678
12,0.0273224043715847,0.16542349726775957,0.14883879781420764,0.1721311475409836,0.016150740242261104
13,0.027359781121751026,0.16417236662106705,0.14616963064295488,0.17236662106703146,0.017496635262449527
14,0.0273972602739726,0.1636986301369863,0.14376712328767122,0.1726027397260274,0.018842530282637954
15,0.02194787379972565,0.16260631001371742,0.13847736625514404,0.1728395061728395,0.020188425302826378
16,0.02197802197802198,0.16195054945054946,0.13866758241758242,0.17307692307692307,0.021534320323014805
17,0.016506189821182942,0.16182943603851443,0.13885832187070152,0.1720082530949106,0.02288021534320323
18,0.01652892561983471,0.16147382920110193,0.1390495867768595,0.17224517906336087,0.024226110363391656
19,0.016551724137931035,0.16115862068965517,0.13793103448275862,0.1724137931034483,0.02557200538358008
20,0.012430939226519336,0.16091160220994474,0.1380524861878453,0.17265193370165746,0.026917900403768506
21,0.012448132780082987,0.16059474412171507,0.13409405255878284,0.17289073305670816,0.02826379542395693
22,0.012465373961218837,0.16034626038781163,0.13427977839335178,0.1731301939058172,0.029609690444145357
23,0.012482662968099861,0.15976421636615812,0.13446601941747574,0.17198335644937587,0.03095558546433378
24,0.0125,0.15929166666666666,0.1346527777777778,0.17222222222222222,0.03230148048452221
25,0.012517385257301807,0.15866481223922113,0.13344923504867873,0.17246175243393602,0.033647375504710635
26,0.012534818941504178,0.1582033426183844,0.13071030640668524,0.17270194986072424,0.034993270524899055
27,0.012552301255230125,0.15779637377963737,0.13089260808926081,0.17294281729428174,0.03633916554508748
28,0.012569832402234637,0.15768156424581006,0.1310754189944134,0.17318435754189945,0.03768506056527591
29,0.012587412587412588,0.1574825174825175,0.13125874125874126,0.17209790209790207,0.039030955585464336
30,0.008403361344537815,0.15712885154061626,0.12871148459383752,0.1722689075630252,0.040376850605652756
