algorithm,modularity_Q,n_communities,NMI_vs_Louvain
Louvain,0.9256725582211304,541,1
Leiden,0.8712470273483953,541,0.9984661137936038
Walktrap,0.9050287268102277,550,0.9808738718835065
Infomap,0.9090311828428583,555,0.9778231558523577
