cohort,density,mean_degree,prop_cross_family,prop_cross_country,gini_degree,lcc_frac,top3_families,n_edges
Colonial (pre-1800),0.0024467641462715354,1.915816326530613,0.1773220747889023,0.08624849215922799,0.33765353678089083,0.04081632653061224,caicedo; arboleda; borja,1658
Independence (1800-1850),0.002008081169897235,1.7229336437718303,0.0985997666277713,0.042007001166861145,0.3058631973067363,0.015133876600698487,echaurren; montt; garcía-mansilla,1714
Oligarchic (1850-1900),0.0017797947590152518,1.5341830822711484,0.06748071979434447,0.030205655526992288,0.2693040157113702,0.013904982618771726,podestá; ospina; velasco_chile,1556
Republican (1900-1950),0.0013472055488862212,1.6489795918367345,0.05452240067624683,0.04268808114961961,0.28256698322893503,0.0163265306122449,galán; onassis; chávez,2366
Modern (1950-2000),0.0030171094000881237,1.5598455598455587,0.052995391705069124,0.04723502304147465,0.25089357391337574,0.03861003861003861,pinal_hidalgo; di_girolamo; chávez,868
