term,estimate,std.error,mcmc.error,statistic,p.value,odds_ratio
edges,-8.77579420697758,0.16043663586332052,0,-54.699440434875925,0,1.5442620597203466e-4
nodecov.n_members,0.05583784931266307,0.0024462106668176747,0,22.826263522635877,2.5156198524797454e-115,1.0574262074481422
nodematch.pais,1.781233176546195,0.13395030791428683,0,13.297716177599117,2.3864691427915664e-40,5.937173489141481
absdiff.mean_degree,-0.3520051828088346,0.11656266549635953,0,-3.0198793182181336,0.0025287542304671838,0.7032764770193571
