Banda,Título,Letra,Link
José José,Aléjate,"Te juro (te juro)


Que no comprendo y me atormento


Te vas y vienes y a tu antojo te tengo


(Te tengo)


Quisiera (quisiera)


Que alguna vez, por una vez me lo dijeras


Y nada de nada


Ya ni siquiera tu sonrisa me acompaña


Aléjate


Si yo no soy lo que tú habías soñado


Y aún no sé si he sido yo quien ha fallado


Di lo que sientes, a ver si de una vez me aclaro


Aléjate


Si yo no soy lo que tú habías soñado


Di lo que sientes, a ver si de una vez me aclaro


Y si me quieres, quédate para siempre


Aléjate


Te juro (te juro)


Que no comprendo y me destruyo


Te vas y vienes y a tu antojo soy tuyo


(Soy tuyo)


Quisiera (quisiera)


Que alguna vez, por una vez me lo dijeras


Y nada de nada


Ya ni siquiera tu sonrisa me acompaña


Aléjate


Si yo no soy lo que tú habías soñado


Y aún no sé si he sido yo quien ha fallado


Di lo que sientes, a ver si de una vez me aclaro


Aléjate


Si yo no soy lo que tú habías soñado


Di lo que sientes, a ver si de una vez me aclaro


Y si me quieres, quédate para siempre


Aléjate",https://www.letras.com//jose-jose/135203/
José José,Alguien,"Un día que estés muy sola y tengas tiempo de pensar


Acuérdate de alguien a quien tú enseñaste a amar


Que te quiso con pasión


Desmedida


Sin importarle nada, que no fueras tú


Ese alguien que giraba siempre alrededor de ti


Era alguien que se daba con darse nunca vi


Y entonces, si todavía tienes tiempo


Si todavía estás muy sola, recuerda que ese alguien


Ese alguien, de quien te hablo


Ese alguien que te quiso, como nadie


Ese alguien, sigo siendo yo",https://www.letras.com//jose-jose/alguien/
José José,Alguien Que Te Extraña,"Son las dos de la mañana


Cuando escribo esta carta


Parece más un poema de amor


Es de alguien que te extraña


Son las dos de la mañana


Cuando escribo esta carta


Es de alguien que desea verte


Pues te quiere todavía


Pensé que al alejarme


Yo te olvidaría


Pero me equivoqué, me equivoqué


Y en vez de olvidarte, te adoro cada día


Que extraño es el amor


Son las dos de la mañana


Cuando escribo esta carta


La ausencia me ha servido


Al fin he comprendido


Que te quiero


Pues quien te escribe


Es alguien que te extraña


Pues quien te escribe


Es alguien que te extraña",https://www.letras.com//jose-jose/alguien-que-te-extrana/
José José,Alguien Vendrá,"La soledad es pasajera


Siempre se va tal como llega


Alguien habrá que esté esperando


Para darte el amor que va guardando


No pienses más, alguien te espera


Para entregar, el alma entera


Se encontrarán por el camino


Y se amarán, se amarán, se amarán


Alguien dará


Todo su amor por ti


Alguien vendrá


Y tú serás feliz


Alguien dará


Todo su amor por ti


Alguien vendrá


Y tú serás feliz


La soledad es pasajera


Siempre se va tal como llega


Alguien habrá que esté esperando


Para darte el amor que va guardando


No pienses más, alguien te espera


Para entregar, el alma entera


Se encontrarán por el camino


Y se amarán, se amarán, se amarán


Alguien dará


Todo su amor por ti


Alguien vendrá


Y tú serás feliz


Alguien dará


Todo su amor por ti


Alguien vendrá


Y tú serás feliz


Alguien dará


Todo su amor por ti


Alguien vendrá


Y tú serás feliz


Alguien dará


Todo su amor por ti


Alguien vendrá


Y tú serás feliz",https://www.letras.com//jose-jose/alguien-vendra/
José José,Almohada,"Amor como el nuestro


No hay dos en la vida


Por más que se busque


Por más que se esconda


Tú duermes conmigo


Toditas las noches


Te quedas callada


Sin ningún reproche


Por eso te quiero


Por eso te adoro


Eres en mi vida


Todo mi tesoro


A veces regreso borracho de angustia


Te lleno de besos y caricias mustias


Pero estás dormida, no sientes caricias


Te abrazo a mi pecho, me duermo contigo


Mas luego despierto, tú no estás conmigo


Solo está mi almohada


A veces te miro


Callada y ausente


Y sufro en silencio


Como tanta gente


Quisiera gritarte


Que vuelvas conmigo


Que si aún estoy vivo


Solo es para amarte


Pero todo pasa


Y a los sufrimientos


Como a las palabras


Se las lleva el viento


Por eso regreso borracho de angustia


Te lleno de besos y caricias mustias


Pero estás dormida, no sientes caricias


Te abrazo a mi pecho, me duermo contigo


Mas luego despierto, tú no estás conmigo


Solo está mi almohada",https://www.letras.com//jose-jose/135204/
José José,Ámame,"Es tanto tiempo ya


Que hoy quisiera saber


Sí aún vivo en tu mirar


Si tú sueñas con volver


Pues siento soledad


En cada amanecer sin ti


La distancia tal vez


Es desierto que en mí


Hace crecer la sed


Que ya tenía de ti


Y hace mi voz clamar


En cada anochecer por ti


Ven a mí


Quiero decirte tantas cosas


Quiero escucharte que no ignoras


Que cada vez te quiero más


Ámame


Pues con tu amor me das la vida


Y con tus besos vuelves día


La oscuridad de mi vivir",https://www.letras.com//jose-jose/747477/
José José,Amándote,"Eres el final de mi viaje


La ensenada donde mi


Ansiedad


Puede al fin soltar el equipaje


Y admirando tu paisaje


Empezar a descansar


Eres ya mi última aventura


Un oasis de tranquilidad


En el vendaval de mi locura


La respuesta a mis preguntas


Y mi única verdad


Amándote


Mi vida es diferente


Amándote


Es fácil sonreír


Nada más puedo decir


Que viviendo junto a ti


Soy tan feliz como un niño feliz


Amándote


Mi vida es diferente


Amándote


Es fácil sonreír


Nada más puedo decir


Que viviendo junto a ti


Soy tan feliz como un niño feliz


Tienes en tus manos mi futuro


Mi pasado no es más que un borrón


Nunca un sentimiento tan profundo


Tan hermoso, limpio y puro


Inundó mi corazón


Amándote


Mi vida es diferente


Amándote


Es fácil sonreír


Nada más puedo decir


Que viviendo junto a ti


Soy tan feliz como un niño feliz


Amándote


Mi vida es diferente


Amándote


Es fácil sonreír


Nada más puedo decir


Que viviendo junto a ti


Soy tan feliz como un niño feliz",https://www.letras.com//jose-jose/amandote/
José José,Amantes,"Amantes


Que pasaron por mi vida


Aliviando las heridas


De mis fracasos de amor


Amantes


Que escondidos en la sombra


Me entregaron tiernamente


El secreto de un amor


Sabrán, que fueron para mí


La luz, en noches de tormenta


Y así, tan solo con su amor


Sobreviví, sin darme cuenta


Amantes


Que llenaron mis vacíos


Igual que el agua a los ríos


Con nuestros sueños de amor


Amantes


Que compartieron mis penas


Sin promesas ni cadenas


Amor a cambio de amor


Sabrán, que fueron para mí


La luz, en noches de tormenta


Y así, tan solo con su amor


Sobreviví, sin darme cuenta


Sabrán, que el tiempo pasará


¡Quizá, mi vida siga herrante!


¡Quizá, jamás las vuelva a ver!


Pero yo sé, que nunca olvidaré


Amantes",https://www.letras.com//jose-jose/amantes/
José José,Amar Sin Ser Amado,"Ya sé que vas a dejarme


Qué lo tienes decidido


Qué no te importa mi pena


Ni el saber que estoy herido


Qué ya no quieres quedarte


A mi lado ni un momento


Qué es mi problema y no el tuyo


Si no aguanto el sufrimiento


Ya sé que nunca me has dicho


Que de veras me querías


Qué no pediste cariño


Ni dijiste que eras mía


Qué tú eres ave de paso


Y es por eso que hoy te vas


Ya sé que la culpa es mía


Por quererte demasiado


Qué estoy sufriendo por tonto


Por amar sin ser amado


Y lo que más me entristece


Qué le has dicho a los amigos


Que no es que ya no me quieras


Es que nunca me has querido


Ya sé que nunca me has dicho


Que de veras me querías


Qué no pediste cariño


Ni dijiste que eras mía


Que tú eres ave de paso


Y es por eso que hoy te vas


Ya sé que la culpa es mía


Por quererte demasiado


Qué estoy sufriendo por tonto


Por amar sin ser amado


Y lo que más me entristece


Qué le has dicho a los amigos


Que no es que ya no me quieras


Es que nunca me has querido


Ya sé que la culpa es mía


Por quererte demasiado


Qué estoy sufriendo por tonto


Por amar sin ser amado


Y lo que más me entristece


Qué le has dicho a los amigos


Que no es que ya no me quieras


Es que nunca me has querido",https://www.letras.com//jose-jose/amar-sin-ser-amado/
José José,Amar y Querer,"Casi todos sabemos querer


Pero pocos sabemos amar


Es que amar y querer no es igual


Amar es sufrir, querer es gozar


El que ama pretende servir


El que ama, su vida la da


Y el que quiere pretende vivir


Y nunca sufrir, y nunca sufrir


El que ama no puede pensar


Todo lo da, todo lo da


El que quiere pretende olvidar


Y nunca llorar, y nunca llorar


El querer, pronto, puede acabar


El amor no conoce el final


Es que todos sabemos querer


Pero pocos sabemos amar


El amar es el cielo y la luz


El amar es total plenitud


Es el mar que no tiene final


Es la gloria y la paz, es la gloria y la paz


El querer es la carne y la flor


Es buscar el oscuro rincón


Es morder, arañar y besar


Es deseo fugaz, es deseo fugaz


El que ama no puede pensar


Todo lo da, todo lo da


El que quiere pretende olvidar


Y nunca llorar, y nunca llorar


El querer, pronto, puede acabar


El amor no conoce el final


Es que todos sabemos querer


Pero pocos sabemos amar


El que ama no puede pensar


Todo lo da, todo lo da


El que quiere pretende olvidar


Y nunca llorar, y nunca llorar


El querer, pronto, puede acabar


El amor no conoce el final


Es que todos sabemos querer


Pero pocos sabemos amar",https://www.letras.com//jose-jose/135213/
