pair_a,pair_b,weight
Lux,Pascal,1
Lyon,Ricardo,1
M,O,1
Manuel,Yrarrázaval,1
Marcial,Tagle,1
Mariano,Puga,1
Marín,Solar,1
Matta,Roberto,1
Matte,Mesías,1
Matte,Ossa,1
Matte,Pérez,1
Melanie,ZichyFerraris,1
Mendoza,Monroy,1
Mercado,Subercaseaux,1
Miguel,Piñera,1
Monroy,Zavala,1
Máximo,Mujica,1
ORyan,Sandra,1
Oaxaca,Valle,1
Ovalle,Valdivieso,1
Ovalle,Victoria,1
Pablo,Piñera,1
Pascal,Pedro,1
Pedro,Subercaseaux,1
Petronila,Riquelme,1
Piñera,Sebastián,1
Prieto,Zenteno,1
Puga,Rosario,1
Puga,Vega,1
Pío,Tristán,1
Radomiro,Tomic,1
Raymundo,Río,1
Rodrigo,Salinas,1
Sabatini,Vicente,1
Solminihac,Tampier,1
Subercaseaux,Vicuña,1
di,Girólamo,1
Álvaro,Espinoza,1
Álvaro,Rudolphy,1
Ángela,Jeria,1
Íñiguez,Larraín,1
