from_surname,to_surname,weight
Campos,Prieto,1
Campos,Valenzuela,1
Carvajal,Vargas,1
Carvallo,Echenique,1
Castro,Court,1
Castro,External,1
Celedón,Bulnes,1
Celedón,External,1
Cerda,External,1
Chadwick,Echenique,1
Chadwick,Valdés,1
Chadwick,VieraGallo,1
Claro,Lyon,1
Claro,Solar,1
Concha,Fernández,1
Court,Castro,1
Cruz,Claro,1
Cruz,Prieto,1
CruzCoke,Kuppenheim,1
CruzCoke,Merino,1
CruzCoke,Ossa,1
Cubillos,Allamand,1
Ducci,Talavera,1
Eastman,MacClure,1
Eastman,Ossandón,1
Eastman,Ross,1
Echaurren,Matta,1
Echaurren,Zenteno,1
Echenique,Carvallo,1
Errázuriz,Sotomayor,1
Errázuriz,Urmeneta,1
Errázuriz,Valdivieso,1
Errázuriz,Vicuña,1
Espinoza,Court,1
Espinoza,Olcay,1
Fabbri,Angelini,1
Fernández,Concha,1
Fernández,Huidobro,1
Fernández,Saavedra,1
Fernández,Valdés,1
FernándezVillaverde,Henestrosa,1
FernándezVillaverde,Villaverde,1
Fontaine,Aldunate,1
García,External,1
Garmendia,Pinto,1
Girolamo,Basauri,1
Girolamo,García,1
Girolamo,Montané,1
Girolamo,Sabatini,1
González,Larraín,1
Goyenechea,Cousiño,1
Henestrosa,External,1
Hirmas,Chacra,1
Hirmas,External,1
Huidobro,Fernández,1
Hurtado,Concha,1
Johnson,Reyes,1
Jordán,External,1
Jordán,Solar,1
Jung,External,1
Kuppenheim,Bodenhfer,1
Kuppenheim,CruzCoke,1
Kuppenheim,External,1
Kuppenheim,Rudolphy,1
Larraín,Ossa,1
Lyon,Vergara,1
M,External,1
MacClure,Budge,1
MacClure,Ossandón,1
MacClure,Vives,1
Manrique,External,1
Matta,Valero,1
MattaClark,External,1
MattaClark,Matta,1
Matte,Bunster,1
Matte,Larraín,1
Maule,External,1
Maza,External,1
Mercado,Aguirre,1
Mercado,Vicuña,1
Mesías,Pérez,1
Metternich,ZichyFerraris,1
Montané,Girolamo,1
OHiggins,Puga,1
ORyan,Campos,1
Ochoa,External,1
Ossa,Bulnes,1
Ossa,CruzCoke,1
Ossa,Errázuriz,1
Ossa,Matte,1
Ossandón,MacClure,1
Ossandón,Ross,1
Ovalle,Tagle,1
Ovalle,Talavera,1
Oyarzún,Bascuñán,1
Pampita,Vicuña,1
Piñera,Carvallo,1
Piñera,Chadwick,1
Piñera,Echenique,1
Piñera,Ochoa,1
Piñera,VieraGallo,1
Prat,Carvajal,1
Prieto,Campos,1
Puga,Vega,1
Pérez,External,1
Pérez,Mesías,1
Reyes,External,1
Reyes,Johnson,1
Ross,Vives,1
Rossi,Angelini,1
RuizTagle,External,1
Saavedra,Fernández,1
Sabatini,Girolamo,1
Salabert,External,1
Salas,Aldunate,1
Salas,External,1
Sanfuentes,Bulnes,1
Sanfuentes,Serrano,1
Serrano,Moras,1
Solar,Cruz,1
Subercaseaux,Ossa,1
Subercaseaux,Toro,1
Suárez,Vicuña,1
Talavera,Aldunate,1
Talavera,Ducci,1
Talavera,Ovalle,1
Toro,Cerda,1
Toro,Ossa,1
Urmeneta,Valdivieso,1
Valdivieso,Errázuriz,1
Valdivieso,External,1
Valdivieso,Urmeneta,1
Valdés,Chadwick,1
Vega,Borne,1
Vega,External,1
Vega,Puga,1
Vergara,Astaburuaga,1
Vergara,Saulles,1
Vergara,Valdés,1
Vicuña,Aguirre,1
Vicuña,Errázuriz,1
Vicuña,Mercado,1
Vicuña,Pampita,1
Vicuña,Suárez,1
Vicuña,Urmeneta,1
Vicuña,Valdivieso,1
VieraGallo,Chadwick,1
VieraGallo,Girolamo,1
VieraGallo,Piñera,1
VieraGallo,Salinas,1
VieraGallo,Valdés,1
Villaverde,External,1
Villaverde,FernándezVillaverde,1
Vives,MacClure,1
Vives,Ross,1
Zenteno,Echaurren,1
