family,degree_centrality,betweenness_centrality,rank,highlighted
díaz_ordaz,3,0.3,1,TRUE
díaz_ceballos,1,0,2,TRUE
farías,1,0,3,TRUE
díez_marina,1,0,4,TRUE
sodi,1,0,5,TRUE
madero,1,0,6,TRUE
