url,nombre,pais,conecta_con,contexto_conexion
https://es.wikipedia.org/wiki/Juan_de_Dios_Videla,Juan de Dios Videla,Chile,Argentina,"-Mendoza, 3 de septiembre de 1880) fue un militar argentino que ocupó el cargo de Gobernador de Mendoza desde | -Mendoza, 3 de septiembre de 1880) fue un militar argentino que ocupó el cargo de Gobernador de Mendoza desde"
https://es.wikipedia.org/wiki/Luis_Videla,Luis Videla,Chile,Argentina,"ntina , 16 de octubre de 1831) militar y político argentino, líder del partido unitario y gobernador de la pr | ntina , 16 de octubre de 1831) militar y político argentino, líder del partido unitario y gobernador de la pr"
https://es.wikipedia.org/wiki/Mario_Videla,Mario Videla,Chile,Argentina,"ires , 16 de julio de 2023) [ 1 ] ​ fue un músico argentino reconocido como intérprete de órgano , clave y fl | ires , 16 de julio de 2023) [ 1 ] ​ fue un músico argentino reconocido como intérprete de órgano , clave y fl"
https://es.wikipedia.org/wiki/Ricardo_Videla,Ricardo Videla,Chile,Argentina,"de 1960) fue un ingeniero, historiador y político argentino, miembro del Partido Demócrata (PD), gobernador d | de 1960) fue un ingeniero, historiador y político argentino, miembro del Partido Demócrata (PD), gobernador d"
https://es.wikipedia.org/wiki/Ernesto_Videla,Ernesto Videla,Chile,Argentina,
https://es.wikipedia.org/wiki/Joaqu%C3%ADn_Walker_Mart%C3%ADnez,Joaquín Walker Martínez,Chile,Argentina,
https://es.wikipedia.org/wiki/Patricio_Lynch,Patricio Lynch,Chile,Argentina,Fue hijo del militar argentino Estanislao Lynch Roo y de la chilena Carmen Solo 
https://es.wikipedia.org/wiki/Adolfo_Zald%C3%ADvar_Larra%C3%ADn,Adolfo Zaldívar,Chile,Argentina,
https://es.wikipedia.org/wiki/Nemesio_Ant%C3%BAnez,Nemesio Antúnez,Chile,Argentina,
https://es.wikipedia.org/wiki/Guillermo_Tupper,Guillermo Tupper,Chile,Argentina,
https://es.wikipedia.org/wiki/Daniel_Garc%C3%ADa-Mansilla,Daniel García-Mansilla,Argentina,Chile,
https://es.wikipedia.org/wiki/Octavio_Campero_Echaz%C3%BA,Octavio Campero Echazú,Argentina,Chile, También fue corresponsal de diarios argentinos y chilenos. En 1937 contrajo matrimonio con Delia Zabalaga 
https://es.wikipedia.org/wiki/Vicente_Francisco_del_Sol_y_Vey%C3%A1n,Vicente Francisco del Sol y Veyán,Argentina,Chile,"1841- Niza , Francia , 7 de junio de 1902) fue un diplomático chileno y el último en ejercer el marquesado del Valle de Tojo , también conocido como el marquesado de Yavi . Vicente Francisco del Sol y Veyán , V marqués del Valle de Tojo ( Santiago de Chile , 4 de octubre de 1841- Niza , Francia , 7 de junio de 1902) fue un diplomático chileno y el último en ejercer el marquesado del Valle de Tojo , también conocido como el marquesado de Yavi . Vicente Francisco del Sol y VeyánV marqués del Valle de Tojo: | detalle: Guerra ruso-turca (1877-1878) (https://es.wikipedia.org/wiki/Guerra_ruso-turca_(1877-1878)); Saturnino Giménez Enrich (https://es.wikipedia.org/wiki/Saturnino_Gim%C3%A9nez_Enrich) | Información personal: | Nacimiento: Santiago de Chile (https://es.wikipedia.org/wiki/Santiago_de_Chile); República de Chile (https://es.wikipedia.org/wiki/Rep%C3%BAblica_de_Chile) | Fallecimiento: Niza (https://es.wikipedia.org/wiki/Niza); Francia (https://es.wikipedia.org/wiki/Francia) | Causa de muerte: Herida por arma de fuego (https://es.wikipedia.org/wiki/Herida_por_arma_de_fuego); suicidio (https://es.wikipedia.org/wiki/Suicidio) | Nacionalidad: Chilena (https://es.wikipedia.org/wiki/Nacionalidad_chilena) | Familia: | Cónyuge: Mademoiselle Gabriela Ma"
https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_%C3%81lvarez_de_Toledo,José María Álvarez de Toledo,Argentina,Chile,
https://es.wikipedia.org/wiki/Saturnino_Allende,Saturnino Allende,Argentina,Chile,olina . Diez años más tarde defendió en la prensa chilena la figura de Castro Barros –recientemente falleci
https://es.wikipedia.org/wiki/Manuel_Augusto_Montes_de_Oca,Manuel Augusto Montes de Oca,Argentina,Chile,
https://es.wikipedia.org/wiki/Manuel_Augusto_Montes_de_Oca_%28m%C3%A9dico%29,Manuel Augusto Montes de Oca (médico),Argentina,Chile,
https://es.wikipedia.org/wiki/Ladislao_Guti%C3%A9rrez,Ladislao Gutiérrez,Argentina,Chile,
https://es.wikipedia.org/wiki/Francisco_Xavier_de_Echag%C3%BCe,Francisco Xavier de Echagüe,Argentina,Chile,
https://es.wikipedia.org/wiki/Guillermo_Billinghurst,Guillermo Billinghurst,Argentina,Chile,
https://es.wikipedia.org/wiki/Cecilia_Bolocco,Cecilia Bolocco,Argentina,Chile,"da , presentadora de televisión , modelo y actriz chilena. Se hizo conocida por haber sido elegida Miss Uni | da , presentadora de televisión , modelo y actriz chilena. Se hizo conocida por haber sido elegida Miss Uni | ps://es.wikipedia.org/wiki/Chile) | Nacionalidad: chilena (https://es.wikipedia.org/wiki/Chile) | Caracterí"
https://es.wikipedia.org/wiki/Tiburcio_Benegas,Tiburcio Benegas,Argentina,Chile,
https://es.wikipedia.org/wiki/Ra%C3%BAl_Pr%C3%A9bisch,Raúl Prébisch,Argentina,Chile,
https://es.wikipedia.org/wiki/Marcelo_Bielsa,Marcelo Bielsa,Argentina,Chile,"10 , formando a la «generación dorada» del fútbol chileno. Posteriormente, tuvo un exitoso paso por el Athl"
https://es.wikipedia.org/wiki/Rafael_Bielsa_%28pol%C3%ADtico%29,Rafael Bielsa (político),Argentina,Chile,
https://es.wikipedia.org/wiki/Delia_del_Carril,Delia del Carril,Argentina,Chile, conocida principalmente por ser pareja del poeta chileno Pablo Neruda . Delia del Carril e Iraeta ( Saladi |  conocida principalmente por ser pareja del poeta chileno Pablo Neruda . Delia del Carril: | detalle: Delia
https://es.wikipedia.org/wiki/Pablo_Neruda,Pablo Neruda,Argentina,Chile,"Poeta , escritor , diplomático y político Pablo Neruda , seudónimo y posterior nombre legal [ 1 ] ​ de Ricardo Eliécer Neftalí Reyes Basoalto ( Parral , 12 de julio de 1904- Santiago , 23 de septiembre de 1973), fue un poeta y político chileno ."
https://es.wikipedia.org/wiki/Mar%C3%ADa_Antonia_Hagenaar_Vogelzang,Maria Antonia Hagenaar,Argentina,Chile,"d Reyes Hagenaar, la única descendiente del poeta chileno Pablo Neruda . Maria Antonia Hagenaar , también c | d Reyes Hagenaar, la única descendiente del poeta chileno Pablo Neruda . Maria Antonia Hagenaar: | Informac"
https://es.wikipedia.org/wiki/Matilde_Urrutia,Matilde Urrutia,Argentina,Chile," 5 de enero de 1985) fue una cantante y escritora chilena . Matilde Urrutia Cerda ( Chillán , 5 de mayo de  |  5 de enero de 1985) fue una cantante y escritora chilena . Matilde Urrutia: | Información personal: | Naci"
https://es.wikipedia.org/wiki/Tom%C3%A1s_Godoy_Cruz,Tomás Godoy Cruz,Argentina,Chile,
https://es.wikipedia.org/wiki/Juan_Jos%C3%A9_Godoy,Juan José Godoy,Argentina,Chile,
https://es.wikipedia.org/wiki/Ruperto_Eduardo_Godoy,Ruperto Eduardo Godoy,Argentina,Chile,
https://es.wikipedia.org/wiki/Victorio_Garc%C3%ADa_de_Z%C3%BA%C3%B1iga,Victorio García de Zúñiga,Argentina,Chile,
https://es.wikipedia.org/wiki/Manuel_Joaqu%C3%ADn_de_Valdivieso,Manuel Joaquín de Valdivieso,Argentina,Chile,
https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_de_Lavalle,José Antonio de Lavalle,Argentina,Chile,"Historiador, literato, diplomático, político José Antonio de Lavalle y Arias de Saavedra ( Lima , 22 de marzo de 1833-Lima, 16 de noviembre de 1893) fue un diplomático , historiador y literato peruano del siglo XIX ; más conocido por su labor como Embajador Extraordinario y Ministro Plenipotenciario del Perú para mediar en el diferendo boliviano - chileno ( Santiago , febrero de 1879). José Antonio de Lavalle y Arias de Saavedra ( Lima , 22 de marzo de 1833-Lima, 16 de noviembre de 1893) fue un diplomático , historiador y literato peruano del siglo XIX ; más conocido por su labor como Embajador Extraordinario y Ministro Plenipotenciario del Perú para mediar en el diferendo boliviano - chileno ( Santiago , febrero de 1879). José Antonio de "
https://es.wikipedia.org/wiki/Ricardo_Lavalle_%28pol%C3%ADtico%29,Ricardo Lavalle (político),Argentina,Chile,
https://es.wikipedia.org/wiki/Susana_Villar%C3%A1n,Susana Villarán,Argentina,Chile,
https://es.wikipedia.org/wiki/Lorenzo_Lugones,Lorenzo Lugones,Argentina,Chile,"a estaba ocupada por realistas, Lamadrid junto al chileno Francisco Pérez de Uriondo la atacaron el 14 de a"
https://es.wikipedia.org/wiki/Domingo_Ortiz_de_Rozas,Domingo Ortiz de Rozas,Argentina,Chile,
https://es.wikipedia.org/wiki/Bartolom%C3%A9_Ortiz_de_Rozas,Bartolomé Ortiz de Rozas,Argentina,Chile,
https://es.wikipedia.org/wiki/Justo_Santa_Mar%C3%ADa_de_Oro,Justo Santa María de Oro,Argentina,Chile,
https://es.wikipedia.org/wiki/Juan_Cris%C3%B3stomo_Lafinur,Juan Crisóstomo Lafinur,Argentina,Chile,
https://es.wikipedia.org/wiki/Casimiro_Marc%C3%B3_del_Pont,Casimiro Marcó del Pont,Argentina,Chile,
https://es.wikipedia.org/wiki/Juan_Bautista_Alberdi,Juan Bautista Alberdi,Argentina,Chile,
https://es.wikipedia.org/wiki/Juan_Cris%C3%B3stomo_%C3%81lvarez,Juan Crisóstomo Álvarez,Argentina,Chile,
