pais,nombre,url,grado,betweenness,ranking
peru,Mariano Ignacio Prado,https://es.wikipedia.org/wiki/Mariano_Ignacio_Prado,4,12.5,21
peru,Anna Chiappe,https://es.wikipedia.org/wiki/Anna_Chiappe,4,1.5,22
peru,José Carlos Mariátegui,https://es.wikipedia.org/wiki/Jos%C3%A9_Carlos_Mari%C3%A1tegui,4,1.5,23
peru,Manuel Mujica Gallo,https://es.wikipedia.org/wiki/Manuel_Mujica_Gallo,4,11.333333333333332,24
peru,Mariano Ignacio Prado,https://es.wikipedia.org/wiki/Mariano_Ignacio_Prado_Ochoa,4,12.5,25
peru,Guillermo Seoane,https://es.wikipedia.org/wiki/Guillermo_Seoane,4,6,26
peru,Julio Iglesias,https://es.wikipedia.org/wiki/Julio_Iglesias,4,1.5,27
uruguay,José Batlle y Ordóñez,https://es.wikipedia.org/wiki/Jos%C3%A9_Batlle_y_Ord%C3%B3%C3%B1ez,6,18.5,1
uruguay,Matilde Pacheco,https://es.wikipedia.org/wiki/Matilde_Pacheco,4,1.5,2
uruguay,Juan Carlos Blanco Fernández,https://es.wikipedia.org/wiki/Juan_Carlos_Blanco_Fern%C3%A1ndez,4,9,3
uruguay,Luis Lacalle Pou,https://es.wikipedia.org/wiki/Luis_Lacalle_Pou,3,2,4
uruguay,Luis Batlle Berres,https://es.wikipedia.org/wiki/Luis_Batlle_Berres,3,5,5
uruguay,Lorenzo Batlle,https://es.wikipedia.org/wiki/Lorenzo_Batlle_y_Grau,3,9.5,6
uruguay,Jorge Batlle,https://es.wikipedia.org/wiki/Jorge_Batlle_Ib%C3%A1%C3%B1ez,3,5,7
uruguay,Josefina Herrán,https://es.wikipedia.org/wiki/Josefina_Herr%C3%A1n,3,3,8
uruguay,Juan María Bordaberry,https://es.wikipedia.org/wiki/Juan_Mar%C3%ADa_Bordaberry,3,3,9
uruguay,Victoria Saravia,https://es.wikipedia.org/wiki/Victoria_Saravia,3,5,10
uruguay,Julia Pou,https://es.wikipedia.org/wiki/Julia_Pou,2,0,11
uruguay,Luis Alberto Lacalle,https://es.wikipedia.org/wiki/Luis_Alberto_Lacalle,2,0,12
