url,nombre,pais_origen,pais_vinculo,tipo_vinculo,campo_detectado
https://es.wikipedia.org/wiki/Mariana_Garc%C3%A9s,Mariana Garcés,argentina,chile,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Mariana_Garc%C3%A9s,Mariana Garcés,argentina,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Carlos_Garc%C3%A9s_C%C3%B3rdoba,Carlos Garcés Córdoba,argentina,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Ciro_Molina_Garc%C3%A9s,Ciro Molina Garcés,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Jaime_Gilinski_Bacal,Jaime Gilinski Bacal,peru,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Jaime_Gilinski_Bacal,Jaime Gilinski Bacal,peru,paraguay,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Familia_Holgu%C3%ADn,Familia Holguín,peru,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Familia_Holgu%C3%ADn,Familia Holguín,peru,bolivia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Familia_Holgu%C3%ADn,Familia Holguín,peru,ecuador,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Florentino_Gonz%C3%A1lez,Florentino González,argentina,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Francisco_Jattin,Francisco Jattin,argentina,colombia,residencia,residencia
https://es.wikipedia.org/wiki/Francisco_Jattin,Francisco Jattin,argentina,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Zulema_Jattin_Corrales,Zulema Jattin Corrales,argentina,colombia,residencia,residencia
https://es.wikipedia.org/wiki/Zulema_Jattin_Corrales,Zulema Jattin Corrales,argentina,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/C%C3%A9sar_Augusto_Jattin,César Augusto Jattin,argentina,colombia,residencia,residencia
https://es.wikipedia.org/wiki/C%C3%A9sar_Augusto_Jattin,César Augusto Jattin,argentina,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Zulema_Jattin,Zulema Jattin Corrales,argentina,colombia,residencia,residencia
https://es.wikipedia.org/wiki/Zulema_Jattin,Zulema Jattin Corrales,argentina,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Francisco_Jattin_Corrales,Francisco Jattin,argentina,colombia,residencia,residencia
https://es.wikipedia.org/wiki/Francisco_Jattin_Corrales,Francisco Jattin,argentina,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Familia_Leyva,Familia Leyva,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Familia_Leyva,Familia Leyva,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Cristian_Leiva,Cristian Leiva,argentina,chile,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Mar%C3%ADa_Luisa_%C3%81lvarez_de_Toledo_y_Carreto,María Luisa Álvarez de Toledo y Carreto,colombia,mexico,residencia,residencia
https://es.wikipedia.org/wiki/Ricardo_Lleras_Codazzi,Ricardo Lleras Codazzi,peru,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Santiago_P%C3%A9rez_Manosalva,Santiago Pérez Manosalva,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Santiago_P%C3%A9rez_Triana,Santiago Pérez Triana,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Rosario_Pumarejo,Rosario Pumarejo,argentina,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Rodrigo_Casta%C3%B1o,Rodrigo Castaño,mexico,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Antonio_Ricaurte,Antonio Ricaurte,colombia,venezuela,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Alberto_Lozano_Simonelli,Alberto Lozano Simonelli,peru,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Jos%C3%A9_Cort%C3%A9s_de_Madariaga,José Cortés de Madariaga,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Jos%C3%A9_Cort%C3%A9s_de_Madariaga,José Cortés de Madariaga,chile,venezuela,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Gonzalo_C%C3%B3rdoba_Mallarino,Gonzalo Córdoba Mallarino,argentina,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Mercedes_Delgado_Mallarino,Mercedes Delgado Mallarino,colombia,paraguay,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Santiago_Mart%C3%ADnez_Delgado,Santiago Martínez Delgado,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Antonio_Gonz%C3%A1lez_Manrique,Antonio González Manrique,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Marquesado_de_Villamayor_de_Santiago,Marquesado de Villamayor de Santiago,chile,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Dionisia_P%C3%A9rez_Manrique_y_Camberos,Dionisia Pérez Manrique y Camberos,colombia,paraguay,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Dionisio_P%C3%A9rez_Manrique_de_Lara,Dionisio Pérez Manrique de Lara,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Avenida_Santiago_Mari%C3%B1o,Avenida Santiago Mariño,chile,venezuela,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Francisco_Quijano_Mosquera,Francisco Quijano Mosquera,peru,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Francisco_Jos%C3%A9_Quijano_Mosquera,Francisco Quijano Mosquera,peru,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Santiago_Moure,Santiago Moure,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/%C3%81lvaro_Mutis,Álvaro Mutis,mexico,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Santiago_Mutis,Santiago Mutis,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Santiago_Mutis,Santiago Mutis,chile,paraguay,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Alicia_Puyana_Mutis,Alicia Puyana Mutis,mexico,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Familia_Nari%C3%B1o,Familia Nariño,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Santiago_Alarc%C3%B3n,Santiago Alarcón,chile,colombia,residencia,residencia
https://es.wikipedia.org/wiki/Santiago_Alarc%C3%B3n,Santiago Alarcón,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Francisco_Ni%C3%B1o_Bueno,Francisco Niño Bueno,colombia,venezuela,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Rodrigo_Obreg%C3%B3n,Rodrigo Obregón,peru,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Sim%C3%B3n_O%27Leary_Soublette,Simón O'Leary Soublette,colombia,venezuela,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Daniel_Florencio_O%27Leary,Daniel Florencio O'Leary,colombia,venezuela,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Eduardo_Par%C3%ADs_Forero,Eduardo París Forero,colombia,ecuador,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Manuel_Par%C3%ADs_Ricaurte,Manuel París Ricaurte,colombia,venezuela,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Dolores_Vargas_Par%C3%ADs,Dolores Vargas París,colombia,venezuela,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Rafael_Urdaneta,Rafael Urdaneta,colombia,venezuela,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Rafael_Guillermo_Urdaneta_Vargas,Rafael Urdaneta Vargas,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Rafael_Guillermo_Urdaneta_Vargas,Rafael Urdaneta Vargas,chile,venezuela,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Amenodoro_Urdaneta,Amenodoro Urdaneta,colombia,venezuela,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Gustavo_Petro,Gustavo Petro,argentina,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Ximena_Restrepo,Ximena Restrepo,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Gabriel_Reyes-Patria,Gabriel Reyes-Patria,peru,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Gabriel_Reyes-Patria_Valderrama,Gabriel Reyes-Patria,peru,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Santiago_Gamboa,Santiago Gamboa,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Juan_Samper_Sordo,Juan Samper Sordo,argentina,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Fernando_Sanclemente,Fernando Sanclemente,colombia,uruguay,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Ignacio_Tenorio_y_Carvajal,Ignacio Tenorio y Carvajal,mexico,ecuador,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Familia_Tovar,Familia Tovar,mexico,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Familia_Tovar,Familia Tovar,mexico,venezuela,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Familia_Urdaneta,Familia Urdaneta,colombia,venezuela,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Rafael_Urdaneta_Vargas,Rafael Urdaneta Vargas,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Rafael_Urdaneta_Vargas,Rafael Urdaneta Vargas,chile,venezuela,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Francisco_Urdaneta,Francisco Urdaneta,colombia,uruguay,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Enrique_L%C3%B3pez_Bustamante,Enrique López Bustamante,argentina,venezuela,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Santiago_Uribe_V%C3%A9lez,Santiago Uribe Vélez,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Familia_Urrutia,Familia Urrutia,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Familia_Urrutia,Familia Urrutia,chile,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Familia_Urrutia,Familia Urrutia,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Familia_Urrutia,Familia Urrutia,chile,ecuador,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Familia_Vergara,Familia Vergara,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Ignacio_de_Herrera_y_Vergara,Ignacio de Herrera y Vergara,chile,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Fernando_Botero_Zea,Fernando Botero Zea,mexico,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Rodolfo_Enrique_Zea,Rodolfo Enrique Zea,argentina,colombia,residencia,residencia
https://es.wikipedia.org/wiki/Rodolfo_Enrique_Zea,Rodolfo Enrique Zea,argentina,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Miguel_Antonio_Checa_Eguiguren,Miguel Antonio Checa Eguiguren,chile,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Rogelio_Valdivieso_Eguiguren,Rogelio Valdivieso Eguiguren,argentina,bolivia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Rogelio_Valdivieso_Eguiguren,Rogelio Valdivieso Eguiguren,argentina,ecuador,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Vicente_Eguiguren_Riofr%C3%ADo,Vicente Eguiguren Riofrío,peru,ecuador,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Diego_Noboa,Diego Noboa,chile,ecuador,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Francisco_Mar%C3%ADa_Roca,Francisco María Roca,peru,ecuador,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Roca_y_Bolo%C3%B1a,José Antonio Roca y Boloña,peru,ecuador,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Paloma_Yerovi_Cisneros,Paloma Yerovi Cisneros,argentina,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Paloma_Yerovi_Cisneros,Paloma Yerovi Cisneros,argentina,ecuador,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Leonidas_Yerovi,Leonidas Yerovi,chile,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Familia_de_Antonio_Aguilar_%28M%C3%A9xico%29,Familia de Antonio Aguilar (México),mexico,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Dalia_In%C3%A9s,Dalia Inés,argentina,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Emilio_Carranza,Emilio Carranza,mexico,bolivia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Santiago_Creel,Santiago Creel,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Ignacio_de_la_Torre_y_Mier,Ignacio de la Torre y Mier,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/F%C3%A9lix_D%C3%ADaz_Mori,Félix Díaz Mori,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/P%C3%A1nfilo_Barasorda,Pánfilo Barasorda,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Francisco_D%C3%ADez_Marina,Francisco Díez Marina,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Juan_Manuel_Fern%C3%A1ndez_de_J%C3%A1uregui,Juan Manuel Fernández de Jáuregui,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Fernando_Loyola,Fernando Loyola,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Rosario_Garza_Sada,Rosario Garza Sada,argentina,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Francisco_Gonz%C3%A1lez_de_Cos%C3%ADo_y_Arauz,Francisco González de Cosío y Arauz,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Francisco_Gonz%C3%A1lez_de_Coss%C3%ADo_Mart%C3%ADnez,Francisco González de Cossío Martínez,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Francisco_Gonz%C3%A1lez_de_Coss%C3%ADo_y_Rivera,Francisco González de Cossío y Rivera,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Alma_Guillermoprieto,Alma Guillermoprieto,mexico,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Jes%C3%BAs_Degollado_Gu%C3%ADzar,Jesús Degollado Guízar,mexico,bolivia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Rafael_Gu%C3%ADzar_y_Valencia,Rafael Guízar y Valencia,mexico,bolivia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Susana_Gu%C3%ADzar,Susana Guízar,mexico,venezuela,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Francisco_Ram%C3%ADrez_Luque,Francisco Ramírez Luque,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/%C3%81ngel_de_Iturbide_y_Huarte,Ángel de Iturbide y Huarte,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Jorge_L%C3%B3pez_Portillo_Tostado,Jorge López Portillo Tostado,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Juli%C3%A1n_Malo_Juvera,Julián Malo Juvera,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Gustavo_Alatriste,Gustavo Alatriste,mexico,bolivia,residencia,residencia
https://es.wikipedia.org/wiki/Natalia_Toledo_Paz,Natalia Toledo Paz,argentina,mexico,residencia,residencia
https://es.wikipedia.org/wiki/Natalia_Toledo_Paz,Natalia Toledo Paz,argentina,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Blanca_de_Castej%C3%B3n,Blanca de Castejón,argentina,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Christian_Bach,Christian Bach,argentina,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Jos%C3%A9_Revueltas,José Revueltas,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Ferm%C3%ADn_Revueltas,Fermín Revueltas,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Silvestre_Revueltas,Silvestre Revueltas,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Pedro_Rinc%C3%B3n-Gallardo_y_Rosso,Pedro Rincón-Gallardo y Rosso,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Martha_Riva_Palacio_Ob%C3%B3n,Martha Riva Palacio Obón,mexico,venezuela,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Jos%C3%A9_Calzada_Rovirosa,José Calzada Rovirosa,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Santiago_M%C3%A9ndez_Ibarra,Santiago Méndez Ibarra,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Santiago_Sierra_M%C3%A9ndez,Santiago Sierra Méndez,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Justo_Sierra_O%27Reilly,Justo Sierra O'Reilly,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Mercedes_Soler_%28actriz%29,Mercedes Soler (actriz),argentina,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Fernando_Luj%C3%A1n,Fernando Luján,mexico,colombia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Concha_Urquiza,Concha Urquiza,argentina,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Urquiza,José Antonio Urquiza,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Cristian_Castro,Cristian Castro,mexico,argentina,residencia,residencia
https://es.wikipedia.org/wiki/%C3%81ngel_V%C3%A1zquez_Mellado,Ángel Vázquez Mellado,chile,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Amez,Amez,mexico,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Miguel_Arce,Miguel Arce,peru,mexico,residencia,residencia
https://es.wikipedia.org/wiki/Jos%C3%A9_Dammert_Ch%C3%A1varri,José Dammert Chávarri,peru,ecuador,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Luc%C3%ADa_Dammert,Lucía Dammert,chile,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Cecilia_Alegr%C3%ADa_Varona,Cecilia Alegría Varona,chile,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Gonzalo_Alegr%C3%ADa,Gonzalo Alegría,peru,chile,residencia,residencia
https://es.wikipedia.org/wiki/Dora_Varona,Dora Varona,chile,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Alessia_Injoque,Alessia Injoque,chile,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Cecilia_Alegr%C3%ADa,Cecilia Alegría Varona,chile,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Sebasti%C3%A1n_de_Aliaga_y_Colmenares,Sebastián de Aliaga y Colmenares,argentina,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Jos%C3%A9_Guillermo_del_Solar,José Guillermo del Solar,chile,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Manuel_%C3%81lvarez_Calder%C3%B3n,Manuel Álvarez Calderón,chile,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Augusto_Vargas_Alzamora,Augusto Vargas Alzamora,peru,bolivia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Santiago_Ant%C3%BAnez_de_Mayolo_Rynning,Santiago Antúnez de Mayolo Rynning,chile,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Santiago_Ant%C3%BAnez_de_Mayolo,Santiago Antúnez de Mayolo,chile,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Alfredo_Arambur%C3%BA,Alfredo Aramburú,chile,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Andr%C3%A9s_Arambur%C3%BA_Salinas,Andrés Aramburú Salinas,chile,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Andr%C3%A9s_Avelino_Arambur%C3%BA_Salinas,Andrés Aramburú Salinas,chile,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Pedro_Arenas_i_Aranda,Pedro Arenas i Aranda,argentina,mexico,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Pedro_Arenas_i_Aranda,Pedro Arenas i Aranda,argentina,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Santiago_Astete,Santiago Astete,chile,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Felipe_Barreda_y_Laos,Felipe Barreda y Laos,argentina,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Felipe_Barreda_y_Laos,Felipe Barreda y Laos,argentina,uruguay,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Manuel_Augusto_Bedoya_Lerzundi,Manuel Augusto Bedoya Lerzundi,argentina,chile,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Manuel_Augusto_Bedoya_Lerzundi,Manuel Augusto Bedoya Lerzundi,argentina,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Mart%C3%ADn_Bela%C3%BAnde_Moreyra,Martín Belaúnde Moreyra,argentina,peru,residencia,residencia
