from,to,matrimonios,personas,paises
chadwick,umaña,1,Eduardo Umaña Mendoza | Patricio Fernández,"chile, colombia"
chadwick,vicuña,1,Camila Hirane | Patricio Fernández,chile
char,samper,1,Misi | Arturo Char,colombia
cisneros,cisneros_venezuela,1,Alejandro Miró Quesada Garland | Adriana Cisneros,"peru, venezuela"
cisneros,ulloa,1,Isabel de Yugoslavia | Manuel Ulloa Elías,peru
claro_chile,del_carril,1,Mercedes Marín del Solar | José María del Carril,"argentina, chile"
claro_chile,ortiz_basualdo,1,Amelia Solar de Claro | José Luis Cantilo,"argentina, chile"
claro_chile,valdés_chile,1,Jorge Astaburuaga Lyon | Elena Larraín Valdés,chile
concha_chile,edwards,1,Agustín Edwards Eastman | María Luisa Fernández,chile
concha_chile,garcía-huidobro,1,Raquel Señoret | Vicente Huidobro,chile
concha_chile,madero,1,Francisco José Madero González | María Luisa Fernández,"chile, mexico"
cortés_de_monroy,pizarro,1,Magdalena de Guzmán | Marquesado del Valle de Oaxaca,chile
cruz_chile,cruz-coke,1,Marta Cruz-Coke | Gustavo Lagos Matus,chile
cruz_chile,pinto_chile,1,Luisa Garmendia | Francisco Antonio Pinto,"argentina, chile"
cueto,mackenna,1,Carmela Mackenna | Enrique Cueto,chile
del_mazo,ureta,1,Alfredo del Mazo González | María del Carmen Ureta,"mexico, peru"
diez_canseco,leguía,1,Augusto Leguía | Julia Swayne y Mariátegui,peru
durán_colombia,leyva,1,Feliza Bursztyn | Jorge Gaitán Durán,colombia
díaz_ceballos,díaz_ordaz,1,Gustavo Díaz Ordaz | Irma Serrano,mexico
díaz_ceballos,onassis,1,Marlene Dietrich | John F. Kennedy,"argentina, mexico"
díaz_ordaz,sodi,1,Mariah Carey | Tommy Mottola,mexico
echenique,ortiz_de_rozas,1,Mercedes Ortiz de Rozas | Miguel Piñera,"argentina, chile"
echenique,piñera,1,Cecilia Morel | Sebastián Piñera,chile
echenique,tristán_del_pozo,1,José Rufino Echenique | Victoria Tristán de Echenique,peru
edwards,llinás,1,Catalina Edwards | Juan Pablo Llinás,"chile, colombia"
elías,neyra,1,Adriana Zubiate | Gonzalo Revoredo,peru
errázuriz,jaramillo_colombia,1,Juan Gonzalo Restrepo Londoño | María Victoria Ovalle,"chile, colombia"
errázuriz,solari,1,Luis Solari | María del Carmen Sotomayor,"chile, peru"
escalada,leyva,1,Julián de Leyva | Tomasa de la Quintana,argentina
febres-cordero,fontaine,1,Ernesto Fontaine | María Eugenia Cordovez,"chile, ecuador"
fontbona,luksic,1,Andrónico Lukšić Abaroa | Familia Lukšić,chile
galán,pachón,1,Alberto Villamizar | Maruja Pachón,colombia
garcía-huidobro,rojas,1,Alejandro García-Huidobro | María Eugenia Rojas,"chile, colombia"
garcía-mansilla,rodríguez_larreta,1,Daniel García-Mansilla | Matilde Rodríguez Larreta,"argentina, uruguay"
garza_sada,velasco_chile,1,Isaac Garza Garza | Consuelo Saavedra,"chile, mexico"
gnecco,samper,1,Ernesto Samper | Jacquin Strouss Lucena,colombia
gonzález-olaechea,rojas,1,Manuel González Olaechea | María Eugenia Rojas,"colombia, peru"
graña,málaga,1,Francisco Graña Reyes | Enriqueta Garland Higginson,peru
groot,restrepo,1,Helena Groot de Restrepo | José Manuel Restrepo Vélez,colombia
gómez_martínez,velasco_chile,1,Juan Gómez Martínez | María Teresa Campos,"chile, colombia"
herrera,pardo,1,José Pardo y Aliaga | María Teresa Londoño,"colombia, peru"
holguín,largacha,1,Elena Largacha Ortiz | Julián Trujillo Largacha,colombia
llosa,parra_chile,1,Javiera Parra | Manuel Llosa,"chile, peru"
mackenna,subercaseaux,1,Benjamín Vicuña Mackenna | Victoria Subercaseaux Vicuña,chile
matte,vicuña,1,María Luisa Godoy | José Miguel Vicuña,chile
miró_quesada,moreyra,1,Carlos Miró-Quesada Laos | Carlos Moreyra y Paz Soldán,peru
obregón,vicuña,1,Juan Pablo Obregón | Ana María Palma,"chile, colombia"
orbegoso,santiago_concha,1,Jaime Bayly | Silvia Núñez del Arco,peru
ortiz_de_rozas,ureta,1,Carlos Ortiz de Rozas | María del Carmen Ureta,"argentina, peru"
parís,urdaneta,1,Dolores Vargas París | Rafael Urdaneta,venezuela
paz,roca,1,Agustina Paz de Roca | Segundo Roca,argentina
pinto_chile,sánchez_de_bustamante,1,Manuel de Tezanos Pinto (político) | Teófilo Sánchez de Bustamante,argentina
polar,vértiz,1,Tilsa Lozano | Juan Manuel Polar Vargas,"argentina, peru"
pumarejo,santo_domingo,1,Andrea Casiraghi | Tatiana Santo Domingo,colombia
quintero,turbay,1,Diana Turbay | Miguel Uribe Londoño,colombia
rocca,soler,1,Vanessa Ciangherotti | Roberto Rocca,"argentina, mexico"
saadi,zañartu,1,Vicente Saadi | Alicia Cañas,"argentina, chile"
salazar_y_meléndez,vértiz,1,Pamela Vértiz | Alfredo Salazar Southwell,peru
sarmiento,sarsfield,1,Benita Martínez Pastoriza de Sarmiento | Domingo Faustino Sarmiento,argentina
silva_santisteban,vial,1,Carlos Malpica | Teresa Marinovic,"chile, peru"
tohá,valdivieso,1,Maite Orsini | Jorge Valdivieso Blanco,chile
vicuña,zaldívar,1,Adolfo Zaldívar | Ana María Palma,chile
álvarez_calderón,benavides_perú,1,Roberto Álvarez Calderón Rey | Óscar Benavides,peru
álvarez_del_casal,concha_chile,1,Carlos Concha Subercaseaux | Mercedes Hurtado de Álvarez,"chile, colombia"
álzaga,pachón,1,Héctor de Elía | Juana Uribe,"argentina, colombia"
