from_familia,to_familia,n
Pinto (Chile),Valdivieso,2
Velasco (Chile),Morandé,2
Vial,Cruz (Chile),2
Aylwin,Vicuña,1
Concha (Chile),García-Huidobro,1
Cruz (Chile),Pinto (Chile),1
Cruz-Coke,Cruz (Chile),1
Di Girolamo,Allamand,1
Echenique,Piñera,1
García-Huidobro,Chadwick,1
Luksic,Fontbona,1
Mackenna,Subercaseaux,1
Pinto (Chile),Cruz (Chile),1
Pizarro,Cortés de Monroy,1
Piñera,Echenique,1
Subercaseaux,Mackenna,1
Valdivieso,Pinto (Chile),1
Velasco (Chile),Portales,1
Zaldívar,Vicuña,1
