from,to,pais_origen,pais_destino
https://es.wikipedia.org/wiki/Ana_de_Azcu%C3%A9naga_de_Olaguer_Feli%C3%BA,https://es.wikipedia.org/wiki/Antonio_Olaguer_Feli%C3%BA,argentina,uruguay
https://es.wikipedia.org/wiki/Andr%C3%A9s_Arambur%C3%BA_Menchaca,https://es.wikipedia.org/wiki/Andr%C3%A9s_Arambur%C3%BA_Salinas,peru,chile
https://es.wikipedia.org/wiki/Andr%C3%A9s_Arambur%C3%BA_Menchaca,https://es.wikipedia.org/wiki/Andr%C3%A9s_Avelino_Arambur%C3%BA_Salinas,peru,chile
https://es.wikipedia.org/wiki/Andr%C3%A9s_Arambur%C3%BA_Salinas,https://es.wikipedia.org/wiki/Andr%C3%A9s_Arambur%C3%BA_Menchaca,chile,peru
https://es.wikipedia.org/wiki/Andr%C3%A9s_Arambur%C3%BA_Salinas,https://es.wikipedia.org/wiki/Andr%C3%A9s_Avelino_Arambur%C3%BA_Sarrio,chile,peru
https://es.wikipedia.org/wiki/Andr%C3%A9s_Arambur%C3%BA_Salinas,https://es.wikipedia.org/wiki/Ernesto_Arambur%C3%BA_Menchaca,chile,peru
https://es.wikipedia.org/wiki/Andr%C3%A9s_Arambur%C3%BA_Sarrio,https://es.wikipedia.org/wiki/Andr%C3%A9s_Avelino_Arambur%C3%BA_Salinas,peru,chile
https://es.wikipedia.org/wiki/Andr%C3%A9s_Avelino_Arambur%C3%BA_Salinas,https://es.wikipedia.org/wiki/Andr%C3%A9s_Arambur%C3%BA_Menchaca,chile,peru
https://es.wikipedia.org/wiki/Andr%C3%A9s_Avelino_Arambur%C3%BA_Salinas,https://es.wikipedia.org/wiki/Andr%C3%A9s_Arambur%C3%BA_Sarrio,chile,peru
https://es.wikipedia.org/wiki/Andr%C3%A9s_Avelino_Arambur%C3%BA_Salinas,https://es.wikipedia.org/wiki/Andr%C3%A9s_Avelino_Arambur%C3%BA_Sarrio,chile,peru
https://es.wikipedia.org/wiki/Andr%C3%A9s_Avelino_Arambur%C3%BA_Salinas,https://es.wikipedia.org/wiki/Ernesto_Arambur%C3%BA_Menchaca,chile,peru
https://es.wikipedia.org/wiki/Andr%C3%A9s_Avelino_Arambur%C3%BA_Sarrio,https://es.wikipedia.org/wiki/Andr%C3%A9s_Arambur%C3%BA_Salinas,peru,chile
https://es.wikipedia.org/wiki/Andr%C3%A9s_Avelino_Arambur%C3%BA_Sarrio,https://es.wikipedia.org/wiki/Andr%C3%A9s_Avelino_Arambur%C3%BA_Salinas,peru,chile
https://es.wikipedia.org/wiki/Andr%C3%A9s_Bolognesi,https://es.wikipedia.org/wiki/Francisco_Bolognesi,peru,chile
https://es.wikipedia.org/wiki/Andrea_Revueltas,https://es.wikipedia.org/wiki/Jos%C3%A9_Revueltas,mexico,chile
https://es.wikipedia.org/wiki/Antauro_Humala,https://es.wikipedia.org/wiki/Ina_Andrade,chile,peru
https://es.wikipedia.org/wiki/Antauro_Humala,https://es.wikipedia.org/wiki/Isaac_Humala,chile,peru
https://es.wikipedia.org/wiki/Antonio_Calzada_Urqu%C3%ADza,https://es.wikipedia.org/wiki/Jos%C3%A9_Calzada_Rovirosa,mexico,chile
https://es.wikipedia.org/wiki/Antonio_Jos%C3%A9_de_Sucre,https://es.wikipedia.org/wiki/Mariana_Carcel%C3%A9n,peru,venezuela
https://es.wikipedia.org/wiki/Antonio_Jos%C3%A9_de_Sucre,https://es.wikipedia.org/wiki/Marquesado_de_Solanda,peru,ecuador
https://es.wikipedia.org/wiki/Antonio_Jos%C3%A9_de_Sucre,https://es.wikipedia.org/wiki/Simona_de_Sucre_Bravo,peru,ecuador
https://es.wikipedia.org/wiki/Antonio_Olaguer_Feli%C3%BA,https://es.wikipedia.org/wiki/Ana_de_Azcu%C3%A9naga_de_Olaguer_Feli%C3%BA,uruguay,argentina
https://es.wikipedia.org/wiki/Antonio_Olaguer_Feli%C3%BA,https://es.wikipedia.org/wiki/Jos%C3%A9_Olaguer_Feli%C3%BA_y_Azcu%C3%A9naga,uruguay,argentina
https://es.wikipedia.org/wiki/Antonio_Olaguer_Feli%C3%BA,https://es.wikipedia.org/wiki/Manuel_Olaguer_Feli%C3%BA_y_Azcu%C3%A9naga,uruguay,argentina
https://es.wikipedia.org/wiki/Antonio_Par%C3%ADs_Ricaurte,https://es.wikipedia.org/wiki/Genoveva_Ricaurte_Mauris,venezuela,colombia
https://es.wikipedia.org/wiki/Antonio_Par%C3%ADs_Ricaurte,https://es.wikipedia.org/wiki/Jos%C3%A9_Mart%C3%ADn_Par%C3%ADs_%C3%81lvarez,venezuela,colombia
https://es.wikipedia.org/wiki/Antonio_Samper_Uribe,https://es.wikipedia.org/wiki/Juan_Samper_Sordo,colombia,argentina
https://es.wikipedia.org/wiki/Antonio_Sebasti%C3%A1n_de_Toledo_Molina_y_Salazar,https://es.wikipedia.org/wiki/Pedro_de_Toledo_y_Leiva,colombia,peru
https://es.wikipedia.org/wiki/Antonio_de_Vergara_Azc%C3%A1rate,https://es.wikipedia.org/wiki/Francisco_Vergara_Mayorga,chile,colombia
https://es.wikipedia.org/wiki/Antonio_de_Vergara_Azc%C3%A1rate,https://es.wikipedia.org/wiki/Francisco_de_Vergara_Azc%C3%A1rate_y_Sese%C3%B1a,chile,colombia
https://es.wikipedia.org/wiki/Antonio_de_Vergara_Azc%C3%A1rate_y_D%C3%A1vila,https://es.wikipedia.org/wiki/Francisco_Vergara_Mayorga,chile,colombia
https://es.wikipedia.org/wiki/Antonio_de_Vergara_Azc%C3%A1rate_y_D%C3%A1vila,https://es.wikipedia.org/wiki/Francisco_de_Vergara_Azc%C3%A1rate_y_Sese%C3%B1a,chile,colombia
https://es.wikipedia.org/wiki/Antonio_de_la_R%C3%BAa,https://es.wikipedia.org/wiki/Shakira,argentina,colombia
https://es.wikipedia.org/wiki/Atahualpa,https://es.wikipedia.org/wiki/Cuxirimay_Ocllo,chile,mexico
https://es.wikipedia.org/wiki/Augusto_Bolognesi,https://es.wikipedia.org/wiki/Francisco_Bolognesi,peru,chile
https://es.wikipedia.org/wiki/B%C3%A1rbara_Cayo,https://es.wikipedia.org/wiki/Alessia_Rovegno,peru,chile
https://es.wikipedia.org/wiki/Baltasar_Unquera,https://es.wikipedia.org/wiki/Martina_Warnes,uruguay,argentina
https://es.wikipedia.org/wiki/Benjam%C3%ADn_Vicu%C3%B1a,https://es.wikipedia.org/wiki/China_Su%C3%A1rez,chile,argentina
https://es.wikipedia.org/wiki/Benjam%C3%ADn_Vicu%C3%B1a,https://es.wikipedia.org/wiki/Pampita,chile,argentina
https://es.wikipedia.org/wiki/Bernardo_O%27Higgins,https://es.wikipedia.org/wiki/Pedro_Demetrio_O%27Higgins,chile,argentina
https://es.wikipedia.org/wiki/Bernardo_O%27Higgins,https://es.wikipedia.org/wiki/Rosario_Puga,chile,argentina
https://es.wikipedia.org/wiki/Bertha_Puga,https://es.wikipedia.org/wiki/Alberto_Lleras_Camargo,chile,colombia
https://es.wikipedia.org/wiki/Bertha_Puga,https://es.wikipedia.org/wiki/Alberto_Lleras_Puga,chile,colombia
https://es.wikipedia.org/wiki/Beto_da_Silva,https://es.wikipedia.org/wiki/Ivana_Yturbe,peru,chile
https://es.wikipedia.org/wiki/Bigote_Arrocet,https://es.wikipedia.org/wiki/Gabriela_Velasco,argentina,chile
https://es.wikipedia.org/wiki/Bigote_Arrocet,https://es.wikipedia.org/wiki/Mar%C3%ADa_Teresa_Campos,argentina,chile
https://es.wikipedia.org/wiki/Blanca_Luz_Brum,https://es.wikipedia.org/wiki/C%C3%A9sar_Mir%C3%B3,chile,peru
https://es.wikipedia.org/wiki/Blanca_Luz_Brum,https://es.wikipedia.org/wiki/David_Alfaro_Siqueiros,chile,mexico
https://es.wikipedia.org/wiki/Blanca_Luz_Brum,https://es.wikipedia.org/wiki/Juan_Parra_del_Riego,chile,peru
https://es.wikipedia.org/wiki/Blanca_de_Castej%C3%B3n,https://es.wikipedia.org/wiki/Rafael_Banquells,argentina,mexico
https://es.wikipedia.org/wiki/Buenaventura_Marc%C3%B3_del_Pont,https://es.wikipedia.org/wiki/Casimiro_Marc%C3%B3_del_Pont,argentina,chile
https://es.wikipedia.org/wiki/Buenaventura_Marc%C3%B3_del_Pont,https://es.wikipedia.org/wiki/Casimiro_Marc%C3%B3_del_Pont,peru,chile
https://es.wikipedia.org/wiki/Buenaventura_Marc%C3%B3_del_Pont,https://es.wikipedia.org/wiki/Manuel_Mar%C3%ADa_Marc%C3%B3_del_Pont,peru,argentina
https://es.wikipedia.org/wiki/C%C3%A9sar_Mir%C3%B3,https://es.wikipedia.org/wiki/Blanca_Luz_Brum,peru,chile
https://es.wikipedia.org/wiki/Carlos_Augusto_Salaverry,https://es.wikipedia.org/wiki/Felipe_Santiago_Salaverry,peru,chile
https://es.wikipedia.org/wiki/Carlos_Cuervo_M%C3%A1rquez,https://es.wikipedia.org/wiki/Teresa_Cuervo_Borda,mexico,colombia
https://es.wikipedia.org/wiki/Carlos_Cueto_Fernandini,https://es.wikipedia.org/wiki/Lilly_Caballero_de_Cueto,peru,chile
https://es.wikipedia.org/wiki/Carlos_Cueto_Fernandini,https://es.wikipedia.org/wiki/Santiago_Cueto_Caballero,peru,chile
https://es.wikipedia.org/wiki/Carlos_Eugenio_Scheck,https://es.wikipedia.org/wiki/Carlos_Scheck,chile,uruguay
https://es.wikipedia.org/wiki/Carlos_Falc%C3%B3,https://es.wikipedia.org/wiki/Isabel_Preysler,argentina,peru
https://es.wikipedia.org/wiki/Carlos_Falc%C3%B3,https://es.wikipedia.org/wiki/Tamara_Falc%C3%B3,argentina,peru
https://es.wikipedia.org/wiki/Carlos_Garc%C3%A9s_C%C3%B3rdoba,https://es.wikipedia.org/wiki/Mar%C3%ADa_Teresa_Garc%C3%A9s_Lloreda,argentina,colombia
https://es.wikipedia.org/wiki/Carlos_Menem,https://es.wikipedia.org/wiki/Cecilia_Bolocco,argentina,chile
https://es.wikipedia.org/wiki/Carlos_Paz_Sold%C3%A1n_y_Benavides,https://es.wikipedia.org/wiki/Mariano_Felipe_Paz_Sold%C3%A1n,peru,chile
https://es.wikipedia.org/wiki/Carlos_Scheck,https://es.wikipedia.org/wiki/Carlos_Eugenio_Scheck,uruguay,chile
https://es.wikipedia.org/wiki/Carmen_Ib%C3%A1%C3%B1ez,https://es.wikipedia.org/wiki/Domingo_Godoy_Matte,argentina,chile
https://es.wikipedia.org/wiki/Carmen_Ib%C3%A1%C3%B1ez,https://es.wikipedia.org/wiki/Gonzalo_Men%C3%A9ndez,argentina,chile
https://es.wikipedia.org/wiki/Carmen_Ib%C3%A1%C3%B1ez,https://es.wikipedia.org/wiki/Gonzalo_Men%C3%A9ndez_Duque,argentina,chile
https://es.wikipedia.org/wiki/Carmen_Ib%C3%A1%C3%B1ez,https://es.wikipedia.org/wiki/Iv%C3%A1n_Moreira,argentina,chile
