from,to,tipo,cross_country,cross_family,edge_kind,campo
1781,1782,Padre/Madre,FALSE,FALSE,familiar,NA
1781,1782,Hijo/a,FALSE,FALSE,familiar,NA
680,1820,Hijo/a,FALSE,FALSE,familiar,NA
682,1820,Padre/Madre,FALSE,FALSE,familiar,NA
682,1820,Hijo/a,FALSE,FALSE,familiar,NA
632,1821,Hijo/a,FALSE,FALSE,familiar,NA
632,1821,Padre/Madre,FALSE,FALSE,familiar,NA
1845,1968,Padre/Madre,FALSE,FALSE,familiar,NA
1845,1968,Hijo/a,FALSE,FALSE,familiar,NA
1846,1968,Hijo/a,FALSE,FALSE,familiar,NA
1968,1969,Padre/Madre,FALSE,FALSE,familiar,NA
1968,1969,Hijo/a,FALSE,FALSE,familiar,NA
1845,1970,Cónyuge,FALSE,FALSE,familiar,NA
1846,1970,Cónyuge,FALSE,FALSE,familiar,NA
1968,1970,Padre/Madre,FALSE,FALSE,familiar,NA
1968,1970,Hijo/a,FALSE,FALSE,familiar,NA
984,1976,Padre/Madre,FALSE,FALSE,familiar,NA
984,1976,Hijo/a,FALSE,FALSE,familiar,NA
420,2008,Pareja,FALSE,FALSE,familiar,NA
316,2019,Padre/Madre,FALSE,FALSE,familiar,NA
316,2019,Hijo/a,FALSE,FALSE,familiar,NA
1157,2019,Padre/Madre,FALSE,FALSE,familiar,NA
1157,2019,Hijo/a,FALSE,FALSE,familiar,NA
660,2056,Padre/Madre,FALSE,TRUE,familiar,NA
660,2056,Hijo/a,FALSE,TRUE,familiar,NA
662,2056,Hijo/a,FALSE,FALSE,familiar,NA
2079,2081,Hijo/a,FALSE,FALSE,familiar,NA
2080,2081,Padre/Madre,FALSE,FALSE,familiar,NA
2080,2081,Hijo/a,FALSE,FALSE,familiar,NA
836,2106,Padre/Madre,FALSE,FALSE,familiar,NA
836,2106,Hijo/a,FALSE,FALSE,familiar,NA
1313,2169,Pareja,FALSE,FALSE,familiar,NA
426,2178,Hijo/a,FALSE,FALSE,familiar,NA
426,2178,Padre/Madre,FALSE,FALSE,familiar,NA
428,2178,Padre/Madre,FALSE,FALSE,familiar,NA
1762,2178,Hijo/a,FALSE,TRUE,familiar,NA
1762,2178,Padre/Madre,FALSE,TRUE,familiar,NA
1763,2178,Padre/Madre,FALSE,TRUE,familiar,NA
426,2179,Hijo/a,FALSE,FALSE,familiar,NA
428,2179,Padre/Madre,FALSE,FALSE,familiar,NA
428,2179,Hijo/a,FALSE,FALSE,familiar,NA
1390,2179,Padre/Madre,FALSE,FALSE,familiar,NA
1390,2179,Hijo/a,FALSE,FALSE,familiar,NA
1970,2243,Padre/Madre,FALSE,FALSE,familiar,NA
1970,2243,Hijo/a,FALSE,FALSE,familiar,NA
2079,2246,Padre/Madre,FALSE,FALSE,familiar,NA
2079,2246,Hijo/a,FALSE,FALSE,familiar,NA
2080,2246,Hijo/a,FALSE,FALSE,familiar,NA
1970,2253,Hijo/a,FALSE,TRUE,familiar,NA
2079,2254,Padre/Madre,FALSE,FALSE,familiar,NA
2079,2254,Hijo/a,FALSE,FALSE,familiar,NA
2080,2254,Padre/Madre,FALSE,FALSE,familiar,NA
2243,2254,Padre/Madre,FALSE,TRUE,familiar,NA
2244,2254,Padre/Madre,FALSE,FALSE,familiar,NA
2253,2254,Hijo/a,FALSE,FALSE,familiar,NA
2253,2254,Padre/Madre,FALSE,FALSE,familiar,NA
1299,2257,Padre/Madre,FALSE,FALSE,familiar,NA
1299,2257,Hijo/a,FALSE,FALSE,familiar,NA
2044,2257,Hijo/a,FALSE,FALSE,familiar,NA
2266,2267,Hijo/a,FALSE,FALSE,familiar,NA
2266,2267,Padre/Madre,FALSE,FALSE,familiar,NA
420,2283,Pareja,FALSE,FALSE,familiar,NA
72,2301,Pareja,FALSE,FALSE,familiar,NA
1326,2301,Pareja,FALSE,FALSE,familiar,NA
1326,2301,Cónyuge,FALSE,FALSE,familiar,NA
2171,2301,Padre/Madre,FALSE,FALSE,familiar,NA
2171,2301,Hijo/a,FALSE,FALSE,familiar,NA
1739,2320,Padre/Madre,FALSE,FALSE,familiar,NA
1739,2320,Hijo/a,FALSE,FALSE,familiar,NA
2267,2337,Padre/Madre,FALSE,FALSE,familiar,NA
2267,2337,Hijo/a,FALSE,FALSE,familiar,NA
1299,2340,Hijo/a,FALSE,FALSE,familiar,NA
2044,2340,Hijo/a,FALSE,FALSE,familiar,NA
1299,2341,Hijo/a,FALSE,FALSE,familiar,NA
2044,2341,Hijo/a,FALSE,FALSE,familiar,NA
545,2345,Hijo/a,FALSE,FALSE,familiar,NA
1810,2345,Hijo/a,FALSE,FALSE,familiar,NA
2341,2345,Padre/Madre,FALSE,FALSE,familiar,NA
545,2346,Padre/Madre,FALSE,FALSE,familiar,NA
545,2346,Hijo/a,FALSE,FALSE,familiar,NA
1810,2346,Hijo/a,FALSE,FALSE,familiar,NA
2341,2346,Padre/Madre,FALSE,FALSE,familiar,NA
545,2349,Hijo/a,FALSE,FALSE,familiar,NA
1810,2349,Padre/Madre,FALSE,FALSE,familiar,NA
1810,2349,Hijo/a,FALSE,FALSE,familiar,NA
2257,2349,Hijo/a,FALSE,FALSE,familiar,NA
2340,2349,Hijo/a,FALSE,FALSE,familiar,NA
2341,2349,Padre/Madre,FALSE,FALSE,familiar,NA
2341,2349,Hijo/a,FALSE,FALSE,familiar,NA
1641,2363,Padre/Madre,FALSE,FALSE,familiar,NA
1641,2363,Hijo/a,FALSE,FALSE,familiar,NA
1299,2370,Hijo/a,FALSE,FALSE,familiar,NA
2044,2370,Padre/Madre,FALSE,FALSE,familiar,NA
2044,2370,Hijo/a,FALSE,FALSE,familiar,NA
2349,2370,Hijo/a,FALSE,FALSE,familiar,NA
1222,2411,Padre/Madre,FALSE,FALSE,familiar,NA
1222,2411,Hijo/a,FALSE,FALSE,familiar,NA
605,2428,Padre/Madre,FALSE,FALSE,familiar,NA
605,2428,Hijo/a,FALSE,FALSE,familiar,NA
-1008806,2448,Hijo/a,FALSE,FALSE,familiar,NA
2448,2452,Hijo/a,FALSE,FALSE,familiar,NA
2448,2452,Padre/Madre,FALSE,FALSE,familiar,NA
1968,2464,Cónyuge,FALSE,FALSE,familiar,NA
1969,2464,Hijo/a,FALSE,FALSE,familiar,NA
1969,2464,Padre/Madre,FALSE,FALSE,familiar,NA
20,2489,Padre/Madre,FALSE,FALSE,familiar,NA
20,2489,Hijo/a,FALSE,FALSE,familiar,NA
952,2489,Padre/Madre,FALSE,FALSE,familiar,NA
952,2489,Hijo/a,FALSE,FALSE,familiar,NA
953,2489,Padre/Madre,FALSE,FALSE,familiar,NA
1225,2489,Padre/Madre,FALSE,FALSE,familiar,NA
1225,2489,Hijo/a,FALSE,FALSE,familiar,NA
4,2490,Cónyuge,FALSE,FALSE,familiar,NA
1762,2496,Padre/Madre,FALSE,FALSE,familiar,NA
2199,2496,Padre/Madre,FALSE,FALSE,familiar,NA
2301,2508,Hijo/a,FALSE,FALSE,familiar,NA
2301,2508,Padre/Madre,FALSE,FALSE,familiar,NA
600,2529,Padre/Madre,FALSE,FALSE,familiar,NA
600,2529,Hijo/a,FALSE,FALSE,familiar,NA
1845,2532,Padre/Madre,FALSE,FALSE,familiar,NA
1846,2532,Hijo/a,FALSE,FALSE,familiar,NA
1846,2532,Padre/Madre,FALSE,FALSE,familiar,NA
739,2599,Padre/Madre,FALSE,FALSE,familiar,NA
739,2599,Hijo/a,FALSE,FALSE,familiar,NA
420,2643,Padre/Madre,FALSE,FALSE,familiar,NA
420,2643,Hijo/a,FALSE,FALSE,familiar,NA
2643,2643,Padre/Madre,FALSE,FALSE,familiar,NA
1821,2658,Padre/Madre,FALSE,FALSE,familiar,NA
1821,2658,Hijo/a,FALSE,FALSE,familiar,NA
237,2665,Hijo/a,FALSE,FALSE,familiar,NA
237,2665,Padre/Madre,FALSE,FALSE,familiar,NA
2657,2665,Padre/Madre,FALSE,FALSE,familiar,NA
2687,2688,Padre/Madre,FALSE,FALSE,familiar,NA
2687,2688,Hijo/a,FALSE,FALSE,familiar,NA
965,2702,Padre/Madre,FALSE,FALSE,familiar,NA
965,2702,Hijo/a,FALSE,FALSE,familiar,NA
1739,2707,Padre/Madre,FALSE,FALSE,familiar,NA
1739,2707,Hijo/a,FALSE,FALSE,familiar,NA
2319,2707,Padre/Madre,FALSE,FALSE,familiar,NA
2319,2707,Hijo/a,FALSE,FALSE,familiar,NA
777,2735,Padre/Madre,FALSE,FALSE,familiar,NA
777,2735,Hijo/a,FALSE,FALSE,familiar,NA
72,2738,Cónyuge,FALSE,FALSE,familiar,NA
1599,2740,Padre/Madre,FALSE,FALSE,familiar,NA
1599,2740,Hijo/a,FALSE,FALSE,familiar,NA
1599,2741,Padre/Madre,FALSE,FALSE,familiar,NA
85,2748,Padre/Madre,FALSE,FALSE,familiar,NA
422,2748,Hijo/a,FALSE,FALSE,familiar,NA
422,2748,Padre/Madre,FALSE,FALSE,familiar,NA
643,2748,Hijo/a,FALSE,FALSE,familiar,NA
643,2748,Padre/Madre,FALSE,FALSE,familiar,NA
1599,2748,Cónyuge,FALSE,FALSE,familiar,NA
2740,2748,Padre/Madre,FALSE,FALSE,familiar,NA
2741,2748,Hijo/a,FALSE,FALSE,familiar,NA
2741,2748,Padre/Madre,FALSE,FALSE,familiar,NA
1186,2754,Cónyuge,TRUE,FALSE,familiar,NA
545,2770,Padre/Madre,FALSE,FALSE,familiar,NA
545,2770,Hijo/a,FALSE,FALSE,familiar,NA
2735,2828,Padre/Madre,FALSE,FALSE,familiar,NA
2735,2828,Hijo/a,FALSE,FALSE,familiar,NA
831,2841,Pareja,FALSE,FALSE,familiar,NA
831,2841,Padre/Madre,FALSE,FALSE,familiar,NA
831,2841,Hijo/a,FALSE,FALSE,familiar,NA
649,2884,Cónyuge,FALSE,FALSE,familiar,NA
1109,2884,Hijo/a,FALSE,FALSE,familiar,NA
1109,2884,Padre/Madre,FALSE,FALSE,familiar,NA
1602,2901,Padre/Madre,FALSE,FALSE,familiar,NA
1602,2901,Hijo/a,FALSE,FALSE,familiar,NA
2797,2944,Padre/Madre,FALSE,FALSE,familiar,NA
2797,2944,Hijo/a,FALSE,FALSE,familiar,NA
2804,2995,Hijo/a,FALSE,FALSE,familiar,NA
2804,2995,Padre/Madre,FALSE,FALSE,familiar,NA
702,3007,Padre/Madre,FALSE,FALSE,familiar,NA
702,3007,Hijo/a,FALSE,FALSE,familiar,NA
721,3007,Hijo/a,FALSE,TRUE,familiar,NA
2428,3014,Padre/Madre,FALSE,FALSE,familiar,NA
2428,3014,Hijo/a,FALSE,FALSE,familiar,NA
288,3036,Hijo/a,FALSE,FALSE,familiar,NA
1109,3040,Hijo/a,FALSE,FALSE,familiar,NA
1109,3040,Padre/Madre,FALSE,FALSE,familiar,NA
2884,3040,Cónyuge,FALSE,FALSE,familiar,NA
2884,3041,Padre/Madre,FALSE,FALSE,familiar,NA
2884,3041,Hijo/a,FALSE,FALSE,familiar,NA
3040,3041,Padre/Madre,FALSE,FALSE,familiar,NA
3040,3041,Hijo/a,FALSE,FALSE,familiar,NA
660,3051,Padre/Madre,FALSE,TRUE,familiar,NA
660,3051,Hijo/a,FALSE,TRUE,familiar,NA
662,3051,Hijo/a,FALSE,FALSE,familiar,NA
1154,3094,Cónyuge,FALSE,FALSE,familiar,NA
1155,3094,Cónyuge,FALSE,FALSE,familiar,NA
1154,3095,Cónyuge,FALSE,FALSE,familiar,NA
684,3121,Padre/Madre,FALSE,FALSE,familiar,NA
684,3121,Hijo/a,FALSE,FALSE,familiar,NA
3112,3130,Padre/Madre,FALSE,FALSE,familiar,NA
3112,3130,Hijo/a,FALSE,FALSE,familiar,NA
