nombre1,nombre2,pais1,pais2,tipo_relacion
Pedro Bordaberry,María José Prieto,uruguay,chile,conyuge
Blanca Luz Brum,David Alfaro Siqueiros,uruguay,mexico,conyuge
Blanca Luz Brum,César Miró,uruguay,peru,conyuge
Blanca Luz Brum,Juan Parra del Riego,uruguay,peru,conyuge
Jonathan Freudman,Carolina Mestrovic,venezuela,argentina,conyuge
Juan Vicente Bolívar y Ponte,Juan Agustín Bolívar,venezuela,chile,hijo/a
Antonio Leocadio Guzmán,Antonio Guzmán Blanco,venezuela,colombia,padre/madre
Dolores Vargas París,Amenodoro Urdaneta,venezuela,colombia,padre/madre
Francisco de Paula Andrade Troconis,Josefa Andrade Berti,venezuela,colombia,padre/madre
Juan Vicente Bolívar y Ponte,Simón Bolívar,venezuela,colombia,padre/madre
María de la Concepción Palacios y Blanco,Simón Bolívar,venezuela,colombia,padre/madre
César Zumeta,Antonio Guzmán Blanco,venezuela,colombia,padre/madre
Dolores Vargas París,Ignacio Vargas,venezuela,colombia,padre/madre
Simón O'Leary Soublette,Daniel Florencio O'Leary,venezuela,colombia,padre/madre
César Zumeta,Antonio Guzmán Blanco,venezuela,colombia,hijo/a
Antonio Leocadio Guzmán,Antonio Guzmán Blanco,venezuela,colombia,hijo/a
Dolores Vargas París,Amenodoro Urdaneta,venezuela,colombia,hijo/a
Francisco de Paula Andrade Troconis,Josefa Andrade Berti,venezuela,colombia,hijo/a
Juan Vicente Bolívar y Ponte,Simón Bolívar,venezuela,colombia,hijo/a
María de la Concepción Palacios y Blanco,Simón Bolívar,venezuela,colombia,hijo/a
Rafael Urdaneta,Amenodoro Urdaneta,venezuela,colombia,hijo/a
María Teresa del Toro,Simón Bolívar,venezuela,colombia,conyuge
Marquesado de Solanda,Antonio José de Sucre,venezuela,colombia,conyuge
María Teresa del Toro,Simón Bolívar,venezuela,colombia,conyuge
Teresa Carreño,Eugen d'Albert,venezuela,colombia,conyuge
Eduardo López Rivas,Celia Bustamante,venezuela,peru,conyuge
