nombre1,nombre2,pais1,pais2,tipo_relacion
Gerónimo Podestá,María Teresa Torterolo,argentina,uruguay,padre/madre
Juan Vicente Podestá,María Teresa Torterolo,argentina,uruguay,padre/madre
Olinda Bozán,Rosa Bozán,argentina,uruguay,padre/madre
Pablo Podestá (actor),María Teresa Torterolo,argentina,uruguay,padre/madre
Miguel Escalada,Marcelino Escalada Baldez,argentina,uruguay,hijo/a
Juana Tressols,Paquita Vehil,argentina,uruguay,hijo/a
Matilde Ibáñez Tálice,Jorge Batlle,argentina,uruguay,hijo/a
Matilde Ibáñez Tálice,Luis Batlle Ibáñez,argentina,uruguay,hijo/a
Matilde Ibáñez Tálice,Jorge Batlle,argentina,uruguay,hijo/a
Matilde Ibáñez Tálice,Luis Batlle Ibáñez,argentina,uruguay,hijo/a
Pedro Podestá,José Podestá,argentina,uruguay,hijo/a
Martina Warnes,Baltasar Unquera,argentina,uruguay,conyuge
Matilde Ibáñez Tálice,Luis Batlle Berres,argentina,uruguay,conyuge
Arturo Podestá,Celia Podestá,argentina,uruguay,conyuge
Daniel García-Mansilla,Matilde Rodríguez Larreta,argentina,uruguay,conyuge
Matilde Ibáñez Tálice,Luis Batlle Berres,argentina,uruguay,conyuge
Pedro Podestá,María Teresa Torterolo,argentina,uruguay,conyuge
Pablo Mouche,Victoria Saravia,argentina,uruguay,pareja
Eustoquio Díaz Vélez,Eustoquio Gómez,argentina,venezuela,hijo/a
Carolina Mestrovic,Jonathan Freudman,argentina,venezuela,conyuge
Fernando María Campero Barragán,Juan José Feliciano Fernández Campero,bolivia,argentina,padre/madre
Mercedes Belzu,Juana Manuela Gorriti,bolivia,argentina,padre/madre
Mercedes Belzu,Juana Manuela Gorriti,bolivia,argentina,padre/madre
Mercedes Belzu,Juana Manuela Gorriti,bolivia,argentina,padre/madre
Fernando María Campero Barragán,Juan José Feliciano Fernández Campero,bolivia,argentina,hijo/a
Mercedes Belzu,Juana Manuela Gorriti,bolivia,argentina,hijo/a
Fernando María Campero Barragán,Julio Campero y Aráoz,bolivia,argentina,hijo/a
Manuel Isidoro Belzu,Juana Manuela Gorriti,bolivia,argentina,conyuge
José Ballivián,Mercedes Fontecilla,bolivia,chile,conyuge
Julia Urquidi Illanes,Mario Vargas Llosa,bolivia,peru,conyuge
Aníbal Pinto,Luisa Garmendia,chile,argentina,padre/madre
Aníbal Pinto,Luisa Garmendia,chile,argentina,padre/madre
Manuela Warnes,Ana Jacoba García de Zúñiga,chile,argentina,padre/madre
Manuela Warnes,Ana Jacoba García de Zúñiga,chile,argentina,padre/madre
David de Tezanos Pinto,César de Tezanos Pinto,chile,argentina,hijo/a
Hernán Cubillos,Felipe Saá,chile,argentina,hijo/a
Cecilia Bolocco,Carlos Menem,chile,argentina,conyuge
Pablo Neruda,Delia del Carril,chile,argentina,conyuge
Amelia Solar de Claro,José Luis Cantilo,chile,argentina,conyuge
Francisco Antonio Pinto,Luisa Garmendia,chile,argentina,conyuge
Gabriela Velasco,Bigote Arrocet,chile,argentina,conyuge
María Gracia Subercaseaux,Waldemar Méndez,chile,argentina,conyuge
María José Bello,Mauricio Macri,chile,argentina,conyuge
Mario Velasco,Carolina Mestrovic,chile,argentina,conyuge
Mercedes Marín del Solar,José María del Carril,chile,argentina,conyuge
Nelly Meruane,Juan Carlos Bistoto,chile,argentina,conyuge
Pablo Neruda,Maria Antonia Hagenaar,chile,argentina,conyuge
María Teresa Campos,Bigote Arrocet,chile,argentina,pareja
Benjamín Vicuña,Pampita,chile,argentina,pareja
Benjamín Vicuña,China Suárez,chile,argentina,pareja
Mario Velasco,Carolina Mestrovic,chile,argentina,pareja
Nicolás Sanz de Santamaría,Francisco Sanz de Santamaría,chile,colombia,padre/madre
Leonor Cortés Moctezuma,Hernán Cortés,chile,colombia,padre/madre
Manuela Warnes,Manuel Antonio José Warnes,chile,colombia,padre/madre
Manuela Warnes,Manuel Antonio José Warnes,chile,colombia,padre/madre
Mercedes Marín del Solar,Gaspar Manrique,chile,colombia,padre/madre
Nicolás Sanz de Santamaría,José Bernardo Sáenz de Santamaría,chile,colombia,padre/madre
Leonor Cortés Moctezuma,Hernán Cortés,chile,colombia,hijo/a
Bertha Puga,Consuelo Lleras Puga,chile,colombia,hijo/a
Bertha Puga,Alberto Lleras Puga,chile,colombia,hijo/a
Emilio Edwards,Santiago Eder,chile,colombia,hijo/a
Ignacio de la Carrera y de las Cuevas,Juan José Neira,chile,colombia,hijo/a
Ignacio de la Carrera y de las Cuevas,Juan José Neira,chile,colombia,hijo/a
Jaime Tohá,Juan José Neira,chile,colombia,hijo/a
Joaquín Prieto Concha,José Joaquín Casas,chile,colombia,hijo/a
Julita Astaburuaga,Diego Mazuera,chile,colombia,hijo/a
Nicolás Sanz de Santamaría,Francisco Sanz de Santamaría,chile,colombia,hijo/a
Bertha Puga,Alberto Lleras Camargo,chile,colombia,conyuge
Alejandro García-Huidobro,María Eugenia Rojas,chile,colombia,conyuge
Carlos Concha Subercaseaux,Mercedes Hurtado de Álvarez,chile,colombia,conyuge
Catalina Edwards,Juan Pablo Llinás,chile,colombia,conyuge
Cristina Girardi,Francisco Javier Vergara,chile,colombia,conyuge
Cristina Girardi,Francisco Javier Vergara,chile,colombia,conyuge
Jorge Pinto Rodríguez,Julio Caro,chile,colombia,conyuge
Pedro Nolasco Cruz Vergara,Susana Correa,chile,colombia,conyuge
Fernando Castillo Velasco,Carmen Calisto,chile,ecuador,hijo/a
Ernesto Fontaine,María Eugenia Cordovez,chile,ecuador,conyuge
Ángel de Iturbide y Huarte,Ana María Huarte,chile,mexico,padre/madre
Leonor Cortés Moctezuma,Isabel Moctezuma Tecuichpo Ixcaxochitzin,chile,mexico,padre/madre
Pedro de Cisternas,María Malo,chile,mexico,padre/madre
Ángel de Iturbide y Huarte,Agustín de Iturbide y Green,chile,mexico,hijo/a
Magdalena de Guzmán,Martín Cortés Zúñiga,chile,mexico,conyuge
Leonor Cortés Moctezuma,Juan de Tolosa,chile,mexico,conyuge
Miguel Allamand,Margarita Zavala,chile,mexico,conyuge
Dora Varona,Cecilia Alegría Varona,chile,peru,padre/madre
Dora Varona,Gonzalo Alegría,chile,peru,padre/madre
Alessia Injoque,Cecilia Alegría Varona,chile,peru,padre/madre
Alonso III de Fonseca,Alonso II de Fonseca,chile,peru,padre/madre
Lucía Dammert,Manuel Dammert Ego-Aguirre,chile,peru,padre/madre
Alessia Injoque,Cecilia Alegría Varona,chile,peru,hijo/a
Alonso III de Fonseca,Alonso II de Fonseca,chile,peru,hijo/a
Lucía Dammert,Manuel Dammert Ego-Aguirre,chile,peru,hijo/a
Dora Varona,Gonzalo Alegría,chile,peru,hijo/a
Dora Varona,Cecilia Alegría Varona,chile,peru,hijo/a
Huayna Cápac,Huáscar,chile,peru,hijo/a
Condado de Villaminaya,Diego Portales y Meneses,chile,peru,conyuge
Dora Varona,Ciro Alegría,chile,peru,conyuge
María Ramírez,Santiago Antúnez de Mayolo,chile,peru,conyuge
Marquesado de Tejares,Diego Portales y Meneses,chile,peru,conyuge
Sybila Arredondo,José María Arguedas,chile,peru,conyuge
Diego Portales,Constanza Nordenflycht,chile,peru,pareja
Javiera Parra,Manuel Llosa,chile,peru,pareja
Mauricio Pešutić,Liliana García,chile,uruguay,conyuge
Juan Agustín Bolívar,Juan Vicente Bolívar y Ponte,chile,venezuela,padre/madre
Juan Agustín Bolívar,Juan Vicente Bolívar y Ponte,chile,venezuela,hijo/a
Manuel Antonio José Warnes,Ignacio Warnes,colombia,argentina,padre/madre
Manuel Antonio José Warnes,Martina Warnes,colombia,argentina,padre/madre
Manuel Antonio José Warnes,Martín José Warnes,colombia,argentina,padre/madre
Misael Pastrana Pastrana,Hernando Pastrana,colombia,argentina,padre/madre
Antonio Samper Uribe,Juan Samper Sordo,colombia,argentina,hijo/a
David Char,Antonio Cafiero,colombia,argentina,hijo/a
Manuel Antonio José Warnes,Ignacio Warnes,colombia,argentina,hijo/a
Manuel Antonio José Warnes,Martín José Warnes,colombia,argentina,hijo/a
Manuel Antonio José Warnes,Martina Warnes,colombia,argentina,hijo/a
Misael Pastrana Pastrana,Hernando Pastrana,colombia,argentina,hijo/a
Manuel Antonio José Warnes,Ana Jacoba García de Zúñiga,colombia,argentina,conyuge
Aníbal Fernández de Soto,Juan Saá,colombia,argentina,conyuge
Shakira,Antonio de la Rúa,colombia,argentina,pareja
Shakira,Gerard Piqué,colombia,argentina,pareja
Hernán Cortés,Leonor Cortés Moctezuma,colombia,chile,padre/madre
José Bernardo Sáenz de Santamaría,Nicolás Sanz de Santamaría,colombia,chile,padre/madre
Manuel Antonio José Warnes,Manuela Warnes,colombia,chile,padre/madre
Alberto Lleras Puga,Bertha Puga,colombia,chile,padre/madre
Consuelo Lleras Puga,Bertha Puga,colombia,chile,padre/madre
Consuelo Lleras Puga,Bertha Puga,colombia,chile,padre/madre
Francisco Sanz de Santamaría,Nicolás Sanz de Santamaría,colombia,chile,padre/madre
Ignacio Sanz de Santamaría y Gómez de Salazar,Nicolás Sanz de Santamaría,colombia,chile,padre/madre
Alberto Lleras Puga,Bertha Puga,colombia,chile,hijo/a
Consuelo Lleras Puga,Bertha Puga,colombia,chile,hijo/a
Francisco Sanz de Santamaría,Nicolás Sanz de Santamaría,colombia,chile,hijo/a
Hernán Cortés,Leonor Cortés Moctezuma,colombia,chile,hijo/a
José Bernardo Sáenz de Santamaría,Nicolás Sanz de Santamaría,colombia,chile,hijo/a
Manuel Antonio José Warnes,Manuela Warnes,colombia,chile,hijo/a
Alberto Lleras Camargo,Bertha Puga,colombia,chile,conyuge
Eduardo Umaña Mendoza,Patricio Fernández,colombia,chile,conyuge
Juan Gómez Martínez,María Teresa Campos,colombia,chile,conyuge
Juan Gonzalo Restrepo Londoño,María Victoria Ovalle,colombia,chile,conyuge
Juan Pablo Obregón,Ana María Palma,colombia,chile,pareja
Ignacio José de Lizarzaburu,Pedro Ignacio Lizarzaburu,colombia,ecuador,padre/madre
Ignacio José de Lizarzaburu,José Antonio de Lizarzaburu,colombia,ecuador,padre/madre
Antonio José de Sucre,Simona de Sucre Bravo,colombia,ecuador,hijo/a
